restaurant_name,link,price_class,price_range,category,michelin,ranking,avg_rating,food_rating,service_rating,value_rating,atmosphere_rating,review_count,rate5_count,rate4_count,rate3_count,rate2_count,rate1_count
Molly's Cupcakes,https://www.tripadvisor.com/Restaurant_Review-g35805-d1025581-Reviews-Molly_s_Cupcakes-Chicago_Illinois.html,1,"[3, 10]","['Bakeries', 'American']",FALSE,2,4,4.5,4.5,4,4,329,228,60,12,3,7
Boka Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d430770-Reviews-Boka_Restaurant-Chicago_Illinois.html,4,"[31, 40]","['American', 'Vegetarian Friendly', 'Vegan Options']",TRUE,8,4,4.5,4.5,4,4,681,440,128,37,24,8
Batter & Berries,https://www.tripadvisor.com/Restaurant_Review-g35805-d3332856-Reviews-Batter_Berries-Chicago_Illinois.html,2.5,[],"['American', 'Vegetarian Friendly', 'Vegan Options']",FALSE,14,4,4.5,4.5,4.5,4.5,382,266,76,20,7,6
Nookies Wells,https://www.tripadvisor.com/Restaurant_Review-g35805-d430836-Reviews-Nookies_Wells-Chicago_Illinois.html,2.5,"[4, 16]","['American', 'Cafe', 'Diner']",FALSE,16,4,4.5,4.5,4.5,4.5,424,267,112,23,8,1
Sapori Trattoria,https://www.tripadvisor.com/Restaurant_Review-g35805-d430781-Reviews-Sapori_Trattoria-Chicago_Illinois.html,2.5,"[20, 35]","['Italian', 'Vegetarian Friendly', 'Vegan Options']",FALSE,24,4,4.5,4.5,4.5,4.5,509,341,105,31,6,7
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,2.5,"[15, 30]","['Latin', 'Spanish', 'Contemporary']",FALSE,42,4,4.5,4.5,4.5,4.5,842,502,227,60,17,10
Chicago Pizza & Oven Grinder,https://www.tripadvisor.com/Restaurant_Review-g35805-d472363-Reviews-Chicago_Pizza_Oven_Grinder-Chicago_Illinois.html,2.5,[],"['Italian', 'Pizza', 'Vegetarian Friendly']",FALSE,65,4,4.5,4.5,4.5,4.5,969,610,200,67,26,23
Mon Ami Gabi,https://www.tripadvisor.com/Restaurant_Review-g35805-d430791-Reviews-Mon_Ami_Gabi-Chicago_Illinois.html,4,"[18, 40]","['French', 'Vegetarian Friendly', 'Vegan Options']",FALSE,100,4,4.5,4.5,4,4,367,201,105,26,15,5
Twin Anchors Restaurant & Tavern,https://www.tripadvisor.com/Restaurant_Review-g35805-d463762-Reviews-Twin_Anchors_Restaurant_Tavern-Chicago_Illinois.html,2.5,[],"['American', 'Bar', 'Barbecue']",TRUE,78,4,4.5,4.5,4,4,494,239,154,48,12,6
riccardo trattoria,https://www.tripadvisor.com/Restaurant_Review-g35805-d952741-Reviews-Riccardo_trattoria-Chicago_Illinois.html,2.5,"[30, 30]","['Italian', 'Vegetarian Friendly', 'Gluten Free Options']",FALSE,135,4,4.5,4.5,4,4,278,176,52,18,10,4
Lou Malnati's Pizzeria,https://www.tripadvisor.com/Restaurant_Review-g35805-d430784-Reviews-Lou_Malnati_s_Pizzeria-Chicago_Illinois.html,2.5,[],"['Italian', 'Pizza', 'Vegetarian Friendly']",FALSE,178,4,4.5,4.5,4.5,4.5,274,161,76,19,6,4
Summer House Santa Monica,https://www.tripadvisor.com/Restaurant_Review-g35805-d5528729-Reviews-Summer_House_Santa_Monica-Chicago_Illinois.html,2.5,"[30, 30]","['American', 'Vegetarian Friendly', 'Vegan Options']",FALSE,205,4,4,4,3.5,3.5,400,174,128,53,24,13
The Pasta Bowl,https://www.tripadvisor.com/Restaurant_Review-g35805-d477455-Reviews-The_Pasta_Bowl-Chicago_Illinois.html,2.5,"[10, 20]","['Italian', 'Vegetarian Friendly', 'Vegan Options']",FALSE,208,4,5,4.5,4.5,4.5,142,86,34,8,3,0
R.J. Grunts,https://www.tripadvisor.com/Restaurant_Review-g35805-d430763-Reviews-R_J_Grunts-Chicago_Illinois.html,2.5,"[12, 20]","['American', 'Fast Food', 'Vegetarian Friendly']",FALSE,213,4,4,4.5,4,4,371,135,137,56,9,8
Goose Island Brewhouse,https://www.tripadvisor.com/Restaurant_Review-g35805-d472557-Reviews-Goose_Island_Brewhouse-Chicago_Illinois.html,2.5,[],"['American', 'Bar', 'Pub']",FALSE,248,4,4,4,4,4,284,116,95,38,13,5
North Pond,https://www.tripadvisor.com/Restaurant_Review-g35805-d455982-Reviews-North_Pond-Chicago_Illinois.html,4,"[21, 100]","['American', 'Contemporary', 'Vegetarian Friendly']",TRUE,249,4,4.5,4.5,4,4,357,222,61,30,22,10
Butcher & The Burger,https://www.tripadvisor.com/Restaurant_Review-g35805-d2534385-Reviews-Butcher_The_Burger-Chicago_Illinois.html,2.5,[],"['Quick Bites', 'American']",FALSE,36,4,4.5,4.5,4,4,142,85,35,5,1,1
The J. Parker,https://www.tripadvisor.com/Restaurant_Review-g35805-d4729304-Reviews-The_J_Parker-Chicago_Illinois.html,2.5,[],"['American', 'Bar', 'Vegetarian Friendly']",FALSE,291,4,4,4,3.5,3.5,183,99,57,10,5,5
Del Seoul,https://www.tripadvisor.com/Restaurant_Review-g35805-d2167952-Reviews-Del_Seoul-Chicago_Illinois.html,1,[],"['Quick Bites', 'Asian', 'Korean']",FALSE,44,4,4.5,4,4.5,4.5,108,68,32,3,1,1
Basil Leaf Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d430785-Reviews-Basil_Leaf_Cafe-Chicago_Illinois.html,2.5,"[20, 40]","['Italian', 'Vegetarian Friendly', 'Vegan Options']",FALSE,314,4,4.5,4.5,4.5,4.5,114,68,36,5,3,0
Quality Crab & Oyster Bah,https://www.tripadvisor.com/Restaurant_Review-g35805-d9564670-Reviews-Quality_Crab_Oyster_Bah-Chicago_Illinois.html,2.5,[],"['American', 'Seafood', 'Gluten Free Options']",FALSE,328,4,NA,NA,NA,NA,111,53,39,13,1,1
Elaine's Coffee Call,https://www.tripadvisor.com/Restaurant_Review-g35805-d4835804-Reviews-Elaine_s_Coffee_Call-Chicago_Illinois.html,2.5,"[2, 10]","['Quick Bites', 'Cafe', 'Gluten Free Options']",FALSE,4,4,NA,NA,NA,NA,123,70,33,13,2,1
CHEZ MOI,https://www.tripadvisor.com/Restaurant_Review-g35805-d3201383-Reviews-CHEZ_MOI-Chicago_Illinois.html,2.5,"[31, 50]","['French', 'European', 'Vegetarian Friendly']",FALSE,11,4,4.5,4.5,4,4,154,76,48,15,8,3
