restaurant_name,link,price_class,price_range,category,michelin,ranking,avg_rating,food_rating,service_rating,value_rating,atmosphere_rating,review_count,rate5_count,rate4_count,rate3_count,rate2_count,rate1_count
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,2.5,[],"['Italian', 'Pizza', 'Vegetarian Friendly']",False,272,4,4.5,4.5,4.5,4.5,190,110,47,20,7,2
Lady Gregory's Bar and Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d2348185-Reviews-Lady_Gregory_s_Bar_and_Restaurant-Chicago_Illinois.html,2.5,[],"['American', 'Irish', 'Bar']",False,280,4,4.0,4.0,4.0,4.0,162,69,76,10,2,4
Big Jones,https://www.tripadvisor.com/Restaurant_Review-g35805-d1308821-Reviews-Big_Jones-Chicago_Illinois.html,2.5,"[20, 40]","['American', 'Cajun & Creole', 'Vegetarian Friendly']",True,427,4,4.5,4.0,4.0,4.0,188,96,49,28,8,6
Big Jones,https://www.tripadvisor.com/Restaurant_Review-g35805-d832612-Reviews-Anteprima-Chicago_Illinois.html,2.5,"[20, 40]","['American', 'Cajun & Creole', 'Vegetarian Friendly']",True,427,4,4.5,4.0,4.0,4.0,188,96,49,28,8,6
Reza's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d427413-Reviews-Reza_s_Restaurant-Chicago_Illinois.html,2.5,"[21, 30]","['Mediterranean', 'Middle Eastern', 'Persian']",False,630,4,4.0,4.0,4.0,4.0,151,61,54,12,9,9
Svea Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d427416-Reviews-Svea_Restaurant-Chicago_Illinois.html,1,[],"['Cafe', 'European', 'Diner']",False,650,4,4.5,4.5,4.5,4.5,57,23,27,5,1,0
George's Ice Cream & Sweets,https://www.tripadvisor.com/Restaurant_Review-g35805-d1480973-Reviews-George_s_Ice_Cream_Sweets-Chicago_Illinois.html,1,"[5, 10]","['Dessert', 'American']",False,49,4,5.0,4.5,4.5,4.5,47,34,7,4,0,0
A Taste of Heaven,https://www.tripadvisor.com/Restaurant_Review-g35805-d477271-Reviews-A_Taste_of_Heaven-Chicago_Illinois.html,2.5,[],"['Dessert', 'American', 'Cafe']",False,50,4,4.5,4.0,4.0,4.0,92,52,24,8,4,3
Hamburger Mary's,https://www.tripadvisor.com/Restaurant_Review-g35805-d2302505-Reviews-Hamburger_Mary_s-Chicago_Illinois.html,2.5,[],"['American', 'Bar']",False,537,4,4.0,4.0,3.5,3.5,89,31,31,13,8,2
Vincent,https://www.tripadvisor.com/Restaurant_Review-g35805-d2454356-Reviews-Vincent-Chicago_Illinois.html,2.5,"[30, 30]","['American', 'Vegetarian Friendly', 'Gluten Free Options']",True,546,4,4.5,4.0,4.0,4.0,66,36,21,6,2,1
First Slice Pie Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d4205632-Reviews-First_Slice_Pie_Cafe-Chicago_Illinois.html,2.5,[],"['Dessert', 'American', 'Cafe']",False,63,5,NA,NA,NA,NA,24,20,3,0,0,0
Jin Ju,https://www.tripadvisor.com/Restaurant_Review-g35805-d427692-Reviews-Jin_Ju-Chicago_Illinois.html,2.5,"[21, 30]","['Asian', 'Korean', 'Vegetarian Friendly']",True,866,4,4.5,4.5,4.0,4.0,47,27,16,2,2,0
Pauline's,https://www.tripadvisor.com/Restaurant_Review-g35805-d427436-Reviews-Pauline_s-Chicago_Illinois.html,2.5,[],"['American', 'Diner', 'Vegetarian Friendly']",False,604,4,4.5,4.5,4.0,4.0,55,18,26,7,3,1
Lost Larson,https://www.tripadvisor.com/Restaurant_Review-g35805-d14212326-Reviews-Lost_Larson-Chicago_Illinois.html,2.5,[],"['Dessert', 'Cafe', 'European']",False,67,4,NA,NA,NA,NA,18,12,4,1,0,0
Kopi A Traveler's Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d427374-Reviews-Kopi_A_Traveler_s_Cafe-Chicago_Illinois.html,2.5,[],"['American', 'Cafe', 'Vegetarian Friendly']",False,644,4,4.5,4.5,4.0,4.0,48,21,16,5,2,1
Tanoshii,https://www.tripadvisor.com/Restaurant_Review-g35805-d641078-Reviews-Tanoshii-Chicago_Illinois.html,2.5,[],"['Japanese', 'Sushi', 'Asian']",False,1,4,4.5,4.5,4.0,4.0,47,25,13,2,5,0
Andies Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d463639-Reviews-Andies_Restaurant-Chicago_Illinois.html,2.5,[],"['Lebanese', 'Mediterranean', 'Greek']",False,10,4,4.0,4.0,4.0,4.0,63,21,24,11,4,2
Simon's Tavern,https://www.tripadvisor.com/Restaurant_Review-g35805-d5052764-Reviews-Simon_s_Tavern-Chicago_Illinois.html,1,[],['Pub'],False,180,4,NA,NA,NA,NA,19,9,7,0,0,0
Ombra,https://www.tripadvisor.com/Restaurant_Review-g35805-d2628616-Reviews-Ombra-Chicago_Illinois.html,2.5,"[15, 35]","['Italian', 'Pizza']",False,251,4,4.5,4.0,4.0,4.0,34,13,13,4,3,1
Replay Andersonville,https://www.tripadvisor.com/Restaurant_Review-g35805-d12404641-Reviews-Replay_Andersonville-Chicago_Illinois.html,0,[],['Pub'],False,352,4,NA,NA,NA,NA,12,7,3,2,0,0
Kanela Breakfast Club,https://www.tripadvisor.com/Restaurant_Review-g35805-d10345197-Reviews-Kanela_Breakfast_Club-Chicago_Illinois.html,2.5,[],[],False,1,4,NA,NA,NA,NA,14,8,4,1,1,0
Middle East Bakery & Grocery Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d11794460-Reviews-Middle_East_Bakery_Grocery_Cafe-Chicago_Illinois.html,1,[],"['Specialty Food Market', 'Lebanese', 'Middle Eastern']",False,12,4,NA,NA,NA,NA,13,6,3,3,1,0
Ranalli's of Andersonville,https://www.tripadvisor.com/Restaurant_Review-g35805-d6581183-Reviews-Ranalli_s_of_Andersonville-Chicago_Illinois.html,2.5,[],"['Italian', 'Pizza']",False,1,4,NA,NA,NA,NA,17,7,6,3,0,1
Replay,https://www.tripadvisor.com/Restaurant_Review-g35805-d8677815-Reviews-Replay-Chicago_Illinois.html,2.5,[],"['American', 'Bar', 'Pub']",False,956,4,NA,NA,NA,NA,20,9,7,0,1,2
Polygon Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d5105805-Reviews-Polygon_Cafe-Chicago_Illinois.html,2.5,[],"['Sushi', 'Asian', 'Thai']",False,84,4,NA,NA,NA,NA,20,7,6,5,0,1
Appellation,https://www.tripadvisor.com/Restaurant_Review-g35805-d11844042-Reviews-Appellation-Chicago_Illinois.html,2.5,[],['Wine Bar'],False,41,4,NA,NA,NA,NA,12,6,4,0,1,1
