restaurant_name,link,price_class,price_range,category,michelin,ranking,avg_rating,food_rating,service_rating,value_rating,atmosphere_rating,review_count,rate5_count,rate4_count,rate3_count,rate2_count,rate1_count
MingHin Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d2520471-Reviews-MingHin_Cuisine-Chicago_Illinois.html,2.5,"[10, 18]","['Chinese', 'Asian', 'Cantonese']",True,181,4,4.5,4.0,4.0,4.0,443,183,150,56,15,7
Connie's Pizza,https://www.tripadvisor.com/Restaurant_Review-g35805-d431622-Reviews-Connie_s_Pizza-Chicago_Illinois.html,2.5,"[15, 30]","['Italian', 'Pizza', 'Vegetarian Friendly']",False,62,4,4.5,4.5,4.5,4.5,177,96,55,12,7,2
Joy Yee Noodles,https://www.tripadvisor.com/Restaurant_Review-g35805-d431625-Reviews-Joy_Yee_Noodles-Chicago_Illinois.html,2.5,[],"['Chinese', 'Asian', 'Hong Kong']",False,329,4,4.5,4.0,4.5,4.5,208,97,64,22,8,6
Triple Crown Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d1593305-Reviews-Triple_Crown_Restaurant-Chicago_Illinois.html,2.5,"[10, 30]","['Chinese', 'Asian', 'Cantonese']",False,345,4,4.0,3.5,4.0,4.0,245,85,80,30,12,8
Moon Palace Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d479666-Reviews-Moon_Palace_Restaurant-Chicago_Illinois.html,2.5,"[10, 30]","['Chinese', 'Asian', 'Shanghai']",False,9,4,4.5,4.5,4.5,4.5,115,56,37,12,0,2
Qing Xiang Yuan Dumplings,https://www.tripadvisor.com/Restaurant_Review-g35805-d10168396-Reviews-Qing_Xiang_Yuan_Dumplings-Chicago_Illinois.html,2.5,[],"['Chinese', 'Asian', 'Vegetarian Friendly']",False,390,4,NA,NA,NA,NA,85,54,11,10,3,1
Emperor's Choice,https://www.tripadvisor.com/Restaurant_Review-g35805-d431621-Reviews-Emperor_s_Choice-Chicago_Illinois.html,2.5,[],"['Chinese', 'Asian', 'Cantonese']",False,452,4,4.0,4.5,4.0,4.0,95,35,40,9,1,2
"Happy Lamb Hot Pot, Chicago",https://www.tripadvisor.com/Restaurant_Review-g35805-d9980704-Reviews-Happy_Lamb_Hot_Pot_Chicago-Chicago_Illinois.html,2.5,"[15, 25]","['Chinese', 'Asian']",False,15,4,NA,NA,NA,NA,48,37,6,3,0,1
Strings Ramen Shop,https://www.tripadvisor.com/Restaurant_Review-g35805-d6438586-Reviews-Strings_Ramen_Shop-Chicago_Illinois.html,2.5,[],"['Japanese', 'Asian', 'Soups']",False,532,4,NA,NA,NA,NA,94,45,26,11,4,1
Phoenix Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d431619-Reviews-Phoenix_Restaurant-Chicago_Illinois.html,2.5,[],"['Chinese', 'Asian', 'Cantonese']",True,544,4,4.0,3.5,4.0,4.0,223,69,89,29,15,12
Chiu Quon Bakery,https://www.tripadvisor.com/Restaurant_Review-g35805-d522887-Reviews-Chiu_Quon_Bakery-Chicago_Illinois.html,1,[],"['Bakeries', 'Chinese', 'Asian']",False,23,4,4.5,4.0,4.5,4.5,63,26,27,2,0,2
Go 4 Food,https://www.tripadvisor.com/Restaurant_Review-g35805-d1526445-Reviews-Go_4_Food-Chicago_Illinois.html,2.5,"[5, 25]","['Chinese', 'Seafood', 'Asian']",False,19,4,4.5,4.5,4.5,4.5,79,42,22,7,1,2
Lao Sze Chuan,https://www.tripadvisor.com/Restaurant_Review-g35805-d431649-Reviews-Lao_Sze_Chuan-Chicago_Illinois.html,2.5,[],"['Chinese', 'Asian', 'Szechuan']",False,20,4,4.0,3.5,3.5,3.5,197,75,50,28,11,18
Ken Kee Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d431618-Reviews-Ken_Kee_Restaurant-Chicago_Illinois.html,1,[],"['Chinese', 'Asian', 'Cantonese']",False,23,4,4.5,4.0,4.5,4.5,67,27,27,7,1,1
Mccb,https://www.tripadvisor.com/Restaurant_Review-g35805-d13074687-Reviews-Mccb-Chicago_Illinois.html,2.5,[],"['Chinese', 'Asian', 'Szechuan']",True,25,5,NA,NA,NA,NA,28,23,1,3,0,0
