restaurant_name,link,price_class,price_range,category,michelin,ranking,avg_rating,food_rating,service_rating,value_rating,atmosphere_rating,review_count,rate5_count,rate4_count,rate3_count,rate2_count,rate1_count
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,2.5,"[15, 30]","['Latin', 'Spanish', 'Contemporary']",False,42,4,4.5,4.5,4.5,4.5,842,502,227,60,17,10
Butcher & The Burger,https://www.tripadvisor.com/Restaurant_Review-g35805-d2534385-Reviews-Butcher_The_Burger-Chicago_Illinois.html,2.5,[],"['Quick Bites', 'American']",False,36,4,4.5,4.5,4.0,4.0,142,85,35,5,1,1
CHEZ MOI,https://www.tripadvisor.com/Restaurant_Review-g35805-d3201383-Reviews-CHEZ_MOI-Chicago_Illinois.html,2.5,"[31, 50]","['French', 'European', 'Vegetarian Friendly']",False,353,4,4.5,4.5,4.0,4.0,154,76,48,15,8,3
Homeslice Wheel House,https://www.tripadvisor.com/Restaurant_Review-g35805-d4078052-Reviews-Homeslice_Wheel_House-Chicago_Illinois.html,2.5,[],"['American', 'Brew Pub', 'Bar']",False,407,4,4.5,4.5,4.0,4.0,94,54,31,6,2,1
Sweet Mandy B's,https://www.tripadvisor.com/Restaurant_Review-g35805-d430792-Reviews-Sweet_Mandy_B_s-Chicago_Illinois.html,2.5,[],['Bakeries'],False,19,4,5.0,4.5,4.0,4.0,118,80,20,10,1,4
Athenian Room,https://www.tripadvisor.com/Restaurant_Review-g35805-d479265-Reviews-Athenian_Room-Chicago_Illinois.html,2.5,[],"['Mediterranean', 'Greek', 'Vegetarian Friendly']",False,687,4,4.5,4.5,4.5,4.5,103,54,25,12,6,5
Range Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d5456190-Reviews-Range_Restaurant-Chicago_Illinois.html,2.5,[],"['American', 'Vegetarian Friendly', 'Vegan Options']",False,697,4,4.5,4.5,4.5,4.5,37,23,10,4,0,0
Pizzeria da Nella Cucina Nepolatana,https://www.tripadvisor.com/Restaurant_Review-g35805-d3545027-Reviews-Pizzeria_da_Nella_Cucina_Nepolatana-Chicago_Illinois.html,2.5,"[30, 30]","['Italian', 'Pizza']",False,706,4,4.5,4.5,4.0,4.0,50,25,12,1,1,0
Floriole Bakery,https://www.tripadvisor.com/Restaurant_Review-g35805-d2176175-Reviews-Floriole_Bakery-Chicago_Illinois.html,2.5,[],"['Bakeries', 'Cafe', 'Vegetarian Friendly']",False,30,4,4.5,4.0,4.0,4.0,67,32,23,4,2,3
Tarantino's,https://www.tripadvisor.com/Restaurant_Review-g35805-d430771-Reviews-Tarantino_s-Chicago_Illinois.html,2.5,"[21, 30]",['Italian'],False,777,4,4.0,4.5,4.0,4.0,49,18,22,7,1,0
Jam and Honey,https://www.tripadvisor.com/Restaurant_Review-g35805-d2414746-Reviews-Jam_and_Honey-Chicago_Illinois.html,2.5,[],"['American', 'Vegetarian Friendly', 'Vegan Options']",False,854,4,4.0,4.0,4.0,4.0,48,24,18,5,0,1
Sai Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d430805-Reviews-Sai_Cafe-Chicago_Illinois.html,2.5,"[21, 30]","['Japanese', 'Sushi', 'Asian']",False,877,4,4.5,4.5,4.0,4.0,54,31,14,6,2,1
Nookies Too,https://www.tripadvisor.com/Restaurant_Review-g35805-d430832-Reviews-Nookies_Too-Chicago_Illinois.html,2.5,"[4, 18]","['American', 'Cafe', 'Diner']",False,879,4,4.5,4.5,4.5,4.5,50,24,19,5,2,0
CornerStone Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d10790883-Reviews-CornerStone_Cafe-Chicago_Illinois.html,2.5,[],['Vegetarian Friendly'],False,1,4,NA,NA,NA,NA,22,12,9,1,0,0
Macku Sushi,https://www.tripadvisor.com/Restaurant_Review-g35805-d2452455-Reviews-Macku_Sushi-Chicago_Illinois.html,4,[],"['Japanese', 'Sushi', 'Asian']",False,1,4,4.5,4.5,4.0,4.0,42,30,1,4,3,1
State Restaurant & Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d2308602-Reviews-State_Restaurant_Cafe-Chicago_Illinois.html,2.5,[],"['American', 'Bar', 'Pub']",False,1,4,4.5,4.5,4.0,4.0,28,17,6,3,0,1
The Warehouse Bar & Pizzeria Chicago,https://www.tripadvisor.com/Restaurant_Review-g35805-d9591143-Reviews-The_Warehouse_Bar_Pizzeria_Chicago-Chicago_Illinois.html,1,"[4, 20]","['American', 'Pizza']",False,1,4,NA,NA,NA,NA,18,11,5,2,0,0
Local Option,https://www.tripadvisor.com/Restaurant_Review-g35805-d575881-Reviews-Local_Option-Chicago_Illinois.html,2.5,[],"['American', 'Cajun & Creole', 'Bar']",False,1,4,4.0,4.0,4.0,4.0,34,14,12,4,3,0
Dirk's Fish and Gourmet Shop,https://www.tripadvisor.com/Restaurant_Review-g35805-d4201844-Reviews-Dirk_s_Fish_and_Gourmet_Shop-Chicago_Illinois.html,2.5,[],['Seafood'],False,1,4,NA,NA,NA,NA,16,10,4,2,0,0
Jeni's Splendid Ice Creams,https://www.tripadvisor.com/Restaurant_Review-g35805-d11902278-Reviews-Jeni_s_Splendid_Ice_Creams-Chicago_Illinois.html,1,"[5, 10]","['Dessert', 'American', 'Asian']",False,87,4,NA,NA,NA,NA,15,12,0,1,1,1
Dee's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d479912-Reviews-Dee_s_Restaurant-Chicago_Illinois.html,2.5,[],"['Chinese', 'Asian', 'Szechuan']",False,1,4,4.5,4.0,4.0,4.0,30,17,6,3,3,1
Le Pain Quotidien,https://www.tripadvisor.com/Restaurant_Review-g35805-d6773396-Reviews-Le_Pain_Quotidien-Chicago_Illinois.html,2.5,[],['Cafe'],False,243,3,NA,NA,NA,NA,36,8,10,8,1,3
Mo's Asian Bistro,https://www.tripadvisor.com/Restaurant_Review-g35805-d10051121-Reviews-Mo_s_Asian_Bistro-Chicago_Illinois.html,2.5,[],"['Chinese', 'Sushi', 'Asian']",False,1,4,NA,NA,NA,NA,11,3,6,2,0,0
Noodles & Company,https://www.tripadvisor.com/Restaurant_Review-g35805-d4330140-Reviews-Noodles_Company-Chicago_Illinois.html,0,[],['Asian'],False,105,4,4.0,4.0,4.0,4.0,15,5,6,1,0,0
Rock Wrap & Roll,https://www.tripadvisor.com/Restaurant_Review-g35805-d4196221-Reviews-Rock_Wrap_Roll-Chicago_Illinois.html,0,[],[],False,2,4,NA,NA,NA,NA,10,4,2,1,1,0
McGee's,https://www.tripadvisor.com/Restaurant_Review-g35805-d4205358-Reviews-McGee_s-Chicago_Illinois.html,2.5,[],"['Bar', 'Pub']",False,527,4,NA,NA,NA,NA,11,3,4,2,0,1
Kincade's Bar & Grill,https://www.tripadvisor.com/Restaurant_Review-g35805-d3664821-Reviews-Kincade_s_Bar_Grill-Chicago_Illinois.html,0,[],[],False,1,3,NA,NA,NA,NA,10,1,3,4,1,1
