restaurant_name,link,price_class,price_range,category,michelin,ranking,avg_rating,food_rating,service_rating,value_rating,atmosphere_rating,review_count,rate5_count,rate4_count,rate3_count,rate2_count,rate1_count
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,2.5,[],"['American', 'Vegetarian Friendly', 'Vegan Options']",True,173,4,5.0,4.5,4.5,4.5,139,101,31,3,1,2
Goosefoot,https://www.tripadvisor.com/Restaurant_Review-g35805-d2453785-Reviews-Goosefoot-Chicago_Illinois.html,4,"[166, 166]","['International', 'Contemporary']",True,182,5,5.0,5.0,4.5,4.5,118,101,12,2,1,1
Bistro Campagne,https://www.tripadvisor.com/Restaurant_Review-g35805-d427379-Reviews-Bistro_Campagne-Chicago_Illinois.html,2.5,"[21, 30]","['French', 'European', 'Vegetarian Friendly']",True,8,4,4.5,4.5,4.0,4.0,181,112,50,15,2,0
Glenn's Diner,https://www.tripadvisor.com/Restaurant_Review-g35805-d639332-Reviews-Glenn_s_Diner-Chicago_Illinois.html,2.5,[],"['American', 'Seafood', 'Diner']",False,228,4,4.5,4.5,4.0,4.0,194,117,54,5,5,9
Cafe Selmarie,https://www.tripadvisor.com/Restaurant_Review-g35805-d427404-Reviews-Cafe_Selmarie-Chicago_Illinois.html,2.5,[],"['Dessert', 'American', 'Cafe']",False,23,4,4.5,4.5,4.5,4.5,115,60,48,5,0,2
Fork,https://www.tripadvisor.com/Restaurant_Review-g35805-d851583-Reviews-Fork-Chicago_Illinois.html,2.5,"[15, 30]","['American', 'Bar', 'Spanish']",False,473,4,4.0,4.5,4.0,4.0,125,44,63,12,4,1
The Warbler,https://www.tripadvisor.com/Restaurant_Review-g35805-d14162303-Reviews-The_Warbler-Chicago_Illinois.html,2.5,[],"['American', 'Vegetarian Friendly', 'Vegan Options']",True,350,5,NA,NA,NA,NA,37,29,7,0,0,0
Luella's Southern Kitchen,https://www.tripadvisor.com/Restaurant_Review-g35805-d7650852-Reviews-Luella_s_Southern_Kitchen-Chicago_Illinois.html,2.5,[],['American'],True,355,4,NA,NA,NA,NA,75,43,22,5,4,1
Artango Bar & Steakhouse,https://www.tripadvisor.com/Restaurant_Review-g35805-d4959586-Reviews-Artango_Bar_Steakhouse-Chicago_Illinois.html,2.5,"[11, 55]","['Steakhouse', 'Latin', 'Spanish']",False,40,4,4.5,4.5,4.0,4.0,74,39,21,5,3,2
Roots Handmade Pizza - Lincoln Square,https://www.tripadvisor.com/Restaurant_Review-g35805-d3194570-Reviews-Roots_Handmade_Pizza_Lincoln_Square-Chicago_Illinois.html,2.5,[],"['American', 'Pizza', 'Vegetarian Friendly']",False,687,4,4.0,4.0,4.0,4.0,81,33,33,10,4,1
Chez Simo Bistro,https://www.tripadvisor.com/Restaurant_Review-g35805-d4472254-Reviews-Chez_Simo_Bistro-Chicago_Illinois.html,2.5,[],"['French', 'European', 'Vegetarian Friendly']",False,740,4,4.5,4.5,4.5,4.5,41,25,12,2,0,1
Gene's Rooftop Beer and Wine Garden,https://www.tripadvisor.com/Restaurant_Review-g35805-d4202471-Reviews-Gene_s_Rooftop_Beer_and_Wine_Garden-Chicago_Illinois.html,2.5,[],"['German', 'Polish', 'European']",False,741,5,NA,NA,NA,NA,25,20,5,0,0,0
Jibek Jolu Chicago,https://www.tripadvisor.com/Restaurant_Review-g35805-d2251431-Reviews-Jibek_Jolu_Chicago-Chicago_Illinois.html,2.5,"[4, 17]","['European', 'Turkish', 'Russian']",False,785,4,4.5,4.5,4.5,4.5,41,23,12,3,0,1
Due Lire Vino & Cucina,https://www.tripadvisor.com/Restaurant_Review-g35805-d3531232-Reviews-Due_Lire_Vino_Cucina-Chicago_Illinois.html,2.5,"[30, 30]","['Italian', 'Vegetarian Friendly']",False,163,4,4.5,4.0,4.0,4.0,53,31,12,7,2,1
Famous Dutch Pannenkoeken Huis,https://www.tripadvisor.com/Restaurant_Review-g35805-d12326789-Reviews-Famous_Dutch_Pannenkoeken_Huis-Chicago_Illinois.html,2.5,[],"['Dutch', 'Cafe', 'European']",False,884,4,4.5,4.5,4.5,4.5,32,23,7,1,1,0
Himmel's,https://www.tripadvisor.com/Restaurant_Review-g35805-d4730755-Reviews-Himmel_s-Chicago_Illinois.html,2.5,[],"['Italian', 'German', 'Pizza']",False,181,4,4.5,4.0,4.0,4.0,47,17,21,6,2,1
Green Leaf Thai Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d427316-Reviews-Green_Leaf_Thai_Cuisine-Chicago_Illinois.html,2.5,[],"['Asian', 'Thai', 'Vegetarian Friendly']",False,128,4,4.0,4.0,4.0,4.0,72,38,19,6,5,2
Garcia's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d427325-Reviews-Garcia_s_Restaurant-Chicago_Illinois.html,2.5,[],['Mexican'],False,64,4,4.5,4.0,4.0,4.0,55,19,26,5,1,2
Isla Pilipina,https://www.tripadvisor.com/Restaurant_Review-g35805-d1372204-Reviews-Isla_Pilipina-Chicago_Illinois.html,2.5,"[5, 10]","['Filipino', 'Asian', 'Vegetarian Friendly']",False,1,4,4.5,4.0,4.5,4.5,39,18,14,2,2,2
San Soo Gab San,https://www.tripadvisor.com/Restaurant_Review-g35805-d808900-Reviews-San_Soo_Gab_San-Chicago_Illinois.html,2.5,[],"['Barbecue', 'Asian', 'Korean']",True,1,4,4.0,3.5,3.5,3.5,70,22,27,13,4,2
Rockwell's Neighborhood Grill,https://www.tripadvisor.com/Restaurant_Review-g35805-d3320914-Reviews-Rockwell_s_Neighborhood_Grill-Chicago_Illinois.html,2.5,[],"['American', 'Bar', 'Pub']",False,727,4,NA,NA,NA,NA,24,15,8,0,1,0
Elizabeth,https://www.tripadvisor.com/Restaurant_Review-g35805-d3653167-Reviews-Elizabeth-Chicago_Illinois.html,4,[],"['American', 'Vegetarian Friendly']",True,1,4,4.5,4.5,4.0,4.0,37,25,1,6,4,1
Daily Bar & Grill,https://www.tripadvisor.com/Restaurant_Review-g35805-d492798-Reviews-Daily_Bar_Grill-Chicago_Illinois.html,2.5,[],"['American', 'Bar', 'Pub']",False,744,4,4.0,4.5,4.0,4.0,36,8,19,8,1,0
Half Acre Beer Co Balmoral Tap Room & Garden,https://www.tripadvisor.com/Restaurant_Review-g35805-d12952225-Reviews-Half_Acre_Beer_Co_Balmoral_Tap_Room_Garden-Chicago_Illinois.html,2.5,"[5, 20]","['Bar', 'Pub']",False,299,4,NA,NA,NA,NA,15,9,5,1,0,0
Jerry's - Lincoln Square,https://www.tripadvisor.com/Restaurant_Review-g35805-d9878608-Reviews-Jerry_s_Lincoln_Square-Chicago_Illinois.html,2.5,"[15, 20]","['American', 'Bar', 'Pub']",False,764,4,NA,NA,NA,NA,26,13,7,3,3,0
Hub's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d427619-Reviews-Hub_s_Restaurant-Chicago_Illinois.html,1,[],"['Quick Bites', 'Fast Food', 'Mediterranean']",False,237,4,NA,NA,NA,NA,22,6,9,5,1,0
I Monelli,https://www.tripadvisor.com/Restaurant_Review-g35805-d1107149-Reviews-I_Monelli-Chicago_Illinois.html,2.5,"[10, 15]","['Italian', 'Pizza', 'Vegetarian Friendly']",False,234,4,4.0,4.0,4.0,4.0,23,8,11,1,1,0
Monti's,https://www.tripadvisor.com/Restaurant_Review-g35805-d4201858-Reviews-Monti_s-Chicago_Illinois.html,2.5,"[10, 25]","['American', 'Bar', 'Pizza']",False,803,4,NA,NA,NA,NA,18,11,4,2,0,0
Shanghai Inn,https://www.tripadvisor.com/Restaurant_Review-g35805-d427462-Reviews-Shanghai_Inn-Chicago_Illinois.html,2.5,[],"['Chinese', 'Asian', 'Cantonese']",False,1,4,NA,NA,NA,NA,14,8,6,0,0,0
Barba Yianni Grecian Taverna,https://www.tripadvisor.com/Restaurant_Review-g35805-d427456-Reviews-Barba_Yianni_Grecian_Taverna-Chicago_Illinois.html,2.5,[],"['Mediterranean', 'Greek', 'Vegetarian Friendly']",False,74,4,3.5,4.5,4.0,4.0,43,14,13,13,1,2
Caro Mio Italian Ristorante,https://www.tripadvisor.com/Restaurant_Review-g35805-d427309-Reviews-Caro_Mio_Italian_Ristorante-Chicago_Illinois.html,2.5,"[21, 30]","['Italian', 'Vegetarian Friendly']",False,1,4,4.0,4.0,4.0,4.0,62,24,19,9,2,7
Pizza Art Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d948505-Reviews-Pizza_Art_Cafe-Chicago_Illinois.html,2.5,"[8, 15]","['Italian', 'Pizza']",False,257,4,4.5,4.0,4.5,4.5,22,14,7,1,0,0
Restaurant Sarajevo,https://www.tripadvisor.com/Restaurant_Review-g35805-d427591-Reviews-Restaurant_Sarajevo-Chicago_Illinois.html,2.5,"[30, 30]","['European', 'Eastern European']",False,61,4,4.5,4.0,4.5,4.5,22,16,3,3,0,0
Jimmy's Pizza Cafe,https://www.tripadvisor.com/Restaurant_Review-g35805-d4313266-Reviews-Jimmy_s_Pizza_Cafe-Chicago_Illinois.html,1,[],"['Italian', 'Pizza', 'Vegetarian Friendly']",False,260,4,NA,NA,NA,NA,24,15,6,0,1,2
Aroy Thai,https://www.tripadvisor.com/Restaurant_Review-g35805-d5577798-Reviews-Aroy_Thai-Chicago_Illinois.html,2.5,[],"['Asian', 'Thai', 'Vegan Options']",False,1,4,NA,NA,NA,NA,18,10,3,5,0,0
Miku Sushi,https://www.tripadvisor.com/Restaurant_Review-g35805-d7619424-Reviews-Miku_Sushi-Chicago_Illinois.html,2.5,[],"['Japanese', 'Sushi', 'Asian']",False,83,4,NA,NA,NA,NA,31,16,8,1,4,2
Beans n Bagels,https://www.tripadvisor.com/Restaurant_Review-g35805-d1009939-Reviews-Beans_n_Bagels-Chicago_Illinois.html,1,"[5, 10]","['Bakeries', 'American', 'Cafe']",False,82,4,NA,NA,NA,NA,15,6,8,0,1,0
Taco in a Bag,https://www.tripadvisor.com/Restaurant_Review-g35805-d7147814-Reviews-Taco_in_a_Bag-Chicago_Illinois.html,1,"[5, 10]","['Quick Bites', 'Fast Food']",False,315,4,NA,NA,NA,NA,12,8,2,2,0,0
Yes Thai,https://www.tripadvisor.com/Restaurant_Review-g35805-d464266-Reviews-Yes_Thai-Chicago_Illinois.html,2.5,[],"['Asian', 'Thai', 'Vegetarian Friendly']",False,247,4,4.5,4.5,4.0,4.0,22,13,5,4,0,0
The Red Lion Lincoln Square,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195424-Reviews-The_Red_Lion_Lincoln_Square-Chicago_Illinois.html,2.5,[],['Bar'],False,410,4,4.5,4.5,4.5,4.5,13,8,3,2,0,0
Lutz Cafe & Pastry Shop,https://www.tripadvisor.com/Restaurant_Review-g35805-d427318-Reviews-Lutz_Cafe_Pastry_Shop-Chicago_Illinois.html,2.5,[],"['Bakeries', 'German', 'Cafe']",False,62,3,3.5,4.0,3.5,3.5,33,11,8,7,5,2
Gideon Welles,https://www.tripadvisor.com/Restaurant_Review-g35805-d4204976-Reviews-Gideon_Welles-Chicago_Illinois.html,2.5,[],"['Bar', 'Pub']",False,416,4,NA,NA,NA,NA,11,3,6,1,0,0
Carbon Arc,https://www.tripadvisor.com/Restaurant_Review-g35805-d12157625-Reviews-Carbon_Arc-Chicago_Illinois.html,2.5,[],"['American', 'Bar', 'Pub']",False,950,4,NA,NA,NA,NA,13,6,3,4,0,0
Pueblito Viejo,https://www.tripadvisor.com/Restaurant_Review-g35805-d427409-Reviews-Pueblito_Viejo-Chicago_Illinois.html,2.5,[],"['Latin', 'Spanish', 'South American']",False,116,4,NA,NA,NA,NA,25,11,1,3,0,3
Baker Miller,https://www.tripadvisor.com/Restaurant_Review-g35805-d8737637-Reviews-Baker_Miller-Chicago_Illinois.html,2.5,[],['Cafe'],False,270,4,NA,NA,NA,NA,15,8,3,1,1,1
Garcia's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35805-d5893528-Reviews-Garcia_s_Restaurant-Chicago_Illinois.html,2.5,[],"['Mexican', 'Southwestern', 'Latin']",False,143,3,NA,NA,NA,NA,28,6,10,7,4,1
Sushi Tokoro,https://www.tripadvisor.com/Restaurant_Review-g35805-d7975383-Reviews-Sushi_Tokoro-Chicago_Illinois.html,2.5,[],"['Sushi', 'Asian']",False,99,4,NA,NA,NA,NA,12,3,4,4,0,0
Essence of India,https://www.tripadvisor.com/Restaurant_Review-g35805-d4065773-Reviews-Essence_of_India-Chicago_Illinois.html,2.5,[],"['Indian', 'Asian']",False,34,4,NA,NA,NA,NA,11,7,2,0,1,1
