restaurant_name,link,price_class,price_range,category,michelin,ranking,avg_rating,food_rating,service_rating,value_rating,atmosphere_rating,review_count,rate5_count,rate4_count,rate3_count,rate2_count,rate1_count
Green Street Smoked Meats,https://www.tripadvisor.com/Restaurant_Review-g35805-d6279952-Reviews-Green_Street_Smoked_Meats-Chicago_Illinois.html,2.5,[],"['Quick Bites', 'American', 'Bar']",False,4,4,4.5,4.5,4.0,4.0,364,220,84,9,7,3
Monteverde,https://www.tripadvisor.com/Restaurant_Review-g35805-d8841948-Reviews-Monteverde-Chicago_Illinois.html,2.5,[],"['Italian', 'European', 'Vegetarian Friendly']",True,10,4,NA,NA,NA,NA,350,246,62,19,5,5
Avec,https://www.tripadvisor.com/Restaurant_Review-g35805-d427779-Reviews-Avec-Chicago_Illinois.html,2.5,"[21, 30]","['International', 'Vegetarian Friendly', 'Vegan Options']",True,17,4,4.5,4.5,4.5,4.5,802,493,176,44,11,10
Oriole,https://www.tripadvisor.com/Restaurant_Review-g35805-d10055903-Reviews-Oriole-Chicago_Illinois.html,4,"[175, 176]","['American', 'Gluten Free Options']",True,21,5,NA,NA,NA,NA,157,130,6,3,1,2
Momotaro,https://www.tripadvisor.com/Restaurant_Review-g35805-d7303647-Reviews-Momotaro-Chicago_Illinois.html,4,"[50, 150]","['Japanese', 'Sushi', 'Asian']",True,41,4,4.5,4.5,4.0,4.0,338,200,64,21,11,5
Swift & Sons,https://www.tripadvisor.com/Restaurant_Review-g35805-d8772232-Reviews-Swift_Sons-Chicago_Illinois.html,4,[],"['American', 'Steakhouse', 'Gluten Free Options']",True,47,4,NA,NA,NA,NA,330,215,59,27,12,2
Picollo Sogno,https://www.tripadvisor.com/Restaurant_Review-g35805-d1126484-Reviews-Picollo_Sogno-Chicago_Illinois.html,4,"[30, 40]","['Italian', 'Tuscan', 'Romana']",False,76,4,4.5,4.5,4.0,4.0,579,364,126,34,22,12
Duck Duck Goat,https://www.tripadvisor.com/Restaurant_Review-g35805-d10188359-Reviews-Duck_Duck_Goat-Chicago_Illinois.html,2.5,[],"['Chinese', 'Asian', 'Hong Kong']",False,114,4,NA,NA,NA,NA,412,231,95,36,19,11
Gibsons Italia,https://www.tripadvisor.com/Restaurant_Review-g35805-d12904160-Reviews-Gibsons_Italia-Chicago_Illinois.html,4,"[20, 80]","['Italian', 'American', 'Steakhouse']",False,122,4,NA,NA,NA,NA,202,133,31,17,10,3
Carnivale,https://www.tripadvisor.com/Restaurant_Review-g35805-d598868-Reviews-Carnivale-Chicago_Illinois.html,2.5,"[14, 40]","['Latin', 'Central American', 'Vegetarian Friendly']",False,127,4,4.5,4.5,4.0,4.0,687,347,206,76,18,16
The Publican,https://www.tripadvisor.com/Restaurant_Review-g35805-d1308813-Reviews-The_Publican-Chicago_Illinois.html,2.5,[],"['American', 'Vegetarian Friendly', 'Gluten Free Options']",True,146,4,4.5,4.0,4.0,4.0,934,480,269,93,38,24
