restaurant_name,link,price_class,price_range,category,michelin,ranking,avg_rating,food_rating,service_rating,value_rating,atmosphere_rating,review_count,rate5_count,rate4_count,rate3_count,rate2_count,rate1_count
La Scarola,https://www.tripadvisor.com/Restaurant_Review-g35805-d429382-Reviews-La_Scarola-Chicago_Illinois.html,2.5,"[21, 80]","['Italian', 'Romana', 'Lazio']",FALSE,18,4,4.5,4.5,4.5,4.5,607,422,114,29,13,11
Piece,https://www.tripadvisor.com/Restaurant_Review-g35805-d429108-Reviews-Piece-Chicago_Illinois.html,2.5,"[6, 20]","['Italian', 'Bar', 'Pizza']",FALSE,66,4,4.5,4,4,4,478,243,163,44,8,7
Picollo Sogno,https://www.tripadvisor.com/Restaurant_Review-g35805-d1126484-Reviews-Picollo_Sogno-Chicago_Illinois.html,4,"[30, 40]","['Italian', 'Tuscan', 'Romana']",FALSE,76,4,4.5,4.5,4,4,579,364,126,34,22,12
Mindy's Hot Chocolate,https://www.tripadvisor.com/Restaurant_Review-g35805-d570076-Reviews-Mindy_s_Hot_Chocolate-Chicago_Illinois.html,2.5,"[25, 100]","['American', 'Cafe', 'Contemporary']",FALSE,78,4,4.5,4.5,4,4,358,202,97,33,13,3
Stan's Donuts and Coffee,https://www.tripadvisor.com/Restaurant_Review-g35805-d6640164-Reviews-Stan_s_Donuts_and_Coffee-Chicago_Illinois.html,1,[],"['Bakeries', 'American', 'Cafe']",FALSE,6,4,4.5,4.5,4,4,334,190,85,28,6,6
Big Star,https://www.tripadvisor.com/Restaurant_Review-g35805-d780018-Reviews-Big_Star-Chicago_Illinois.html,1,[],"['Mexican', 'Southwestern', 'Latin']",FALSE,96,4,4.5,4,4.5,4.5,431,224,132,40,9,5
Bongo Room,https://www.tripadvisor.com/Restaurant_Review-g35805-d479846-Reviews-Bongo_Room-Chicago_Illinois.html,2.5,[],"['American', 'Cafe', 'Vegetarian Friendly']",FALSE,110,4,4.5,4.5,4.5,4.5,347,210,83,34,4,5
Small Cheval,https://www.tripadvisor.com/Restaurant_Review-g35805-d8549213-Reviews-Small_Cheval-Chicago_Illinois.html,2.5,[],"['Quick Bites', 'American', 'Fast Food']",FALSE,22,4,NA,NA,NA,NA,134,82,30,8,1,1
The Smoke Daddy,https://www.tripadvisor.com/Restaurant_Review-g35805-d526744-Reviews-The_Smoke_Daddy-Chicago_Illinois.html,2.5,[],"['American', 'Bar', 'Barbecue']",FALSE,135,4,4,4.5,4,4,245,126,69,25,6,3
The Violet Hour,https://www.tripadvisor.com/Restaurant_Review-g35805-d786473-Reviews-The_Violet_Hour-Chicago_Illinois.html,2.5,[],"['American', 'Bar']",FALSE,202,4,4,4.5,4,4,219,140,47,11,8,3
