restaurant_name,link,date,rating,title,review
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,"December 21, 2021",3,Solid Italian fare,"Drinks were good and relatively decent pours. Calamari was tender and not overbreaded with an ok sauce. Fig bruschetta was excellent with a thin slice of prosciutto on top. My main which was a Special, was a flop. Shrimp arriabata on fettuccine. Four shrimp total, none hiding or fell off on the way to the table…. They were a bit fishy but ok while the pasta was undercooked or old. It was not al dente…. And covered in a red sauce which was slightly peppery but nothing special.The chicken medallions were very good in a tasty cream sauce. The asparagus side was sparse. White fish was well received as well as the mushrooms on pasta. Service was average and the noise level ok. Probably closer to 3.5 but not a four. Prices were reasonable."
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,"December 12, 2021",5,Excellent food and excellent price point.,"Food was excellently prepared and portions were large. Service was really good and the restaurant was really busy.  Had grilled octopus for appetizer, which was delicious. Had pasta, veal Marsala, chicken cacciatore  and a seafood dish."
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,"December 8, 2021",5,Very friendly staff and excellent pasta,"Every pasta dish we’ve had here has been amazing! Lasagna and the gnocchi are delicious. The flourless chocolate cake is a true delight for a chocoholic! The bread is always fresh and warm.What truly makes this restaurant amazing is the service. Ecaterina, our waitress was amazing! Prompt, professional and she paid attention to every detail. She even wrote happy birthday in Romanian on my daughter’s dessert plate. Ioana, the manager is extremely professional and accommodating. Thank you Calo for another wonderful birthday dinner."
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,"September 30, 2021",5,Nice Variety of Traditional Food,"We went for an evening meal because we were told it was good. That is correct. The menu is so large, anyone should be able to find something they like. Service was perfect, food delicious and there was plenty of it! I would love to return to try another of their delicious choices."
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,"September 20, 2021",2,Not good,Tough veal  chicken had no flavor  box pasta  canned mushrooms that were slimly  The only thing they have going for themselves is nice size portions  You'd be better off at Carrabba's
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,"April 6, 2021",5,Awesome ,"Hadn't been here before joined some family, it was outstanding. Tried the octopus as a appetizer and the mussels some of the best I have ever had."
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,"March 28, 2021",5,Super risotto!! ,"Due to COVID, we ordered takeout. We think the patrons are not being cautious enough, although the staff all wear masks, etc. The servings are large so we had the leftovers for lunch. The risotto con fungi was the best risotto I have had outside of Tuscany. It was amazing. The arugula salad with balsamic vinaigrette was delicious. We didn’t really like the sausage and red pepper pizza, but maybe it’s just different. "
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,"October 20, 2020",4,Good food!,"Ordered pizza, fried chicken, ribs, mash potatoes, fries, calamari and onion rings. First time I ever had their fried chicken and found it to be extremely good. Ribs serving was smaller than expected and had a flavor that some of us did not care for. I enjoy their thin crust pizza, so that was AWESOME as usual. Side dishes were ok but the coleslaw was outstanding. Very creamy and tasty."
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,"April 22, 2020",1,Pizza is different,"I have been going to Calo’s for many years and when I visited last, I was very dissapointed because it seems the pizza was different. Very different. It looked more like a NY style pizza.Chicago thin crust pizza should always be made with cheese being the last ingredient put on top. The way Calo’s USE to make it. Now they put the pepperoni on the top of the cheese so it is a greasy mess. I don’t understand they changed it. Please explain Calo’s!!!!!"
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,"February 12, 2020",5,Always great!,"We went to Calo's to celebrate my hubby's birthday. It was delicious! Their garlic mashed potatoes cannot be beat. Their ribs are stupendous. And the spumoni ice cream is the best, Although when you order it for delivery, they give you a full pint but in the restaurant they give you a small sliver. But it's the best Spumoni in town. Anybody looking for a wonderful meal should go to this restaurant!"
Calo Pizzeria Restaurant & Lounge,https://www.tripadvisor.com/Restaurant_Review-g35805-d427372-Reviews-Calo_Pizzeria_Restaurant_Lounge-Chicago_Illinois.html,"January 4, 2020",5,OLD SCHOOL DON CORRECTLY,Service was fast and cordial. Food was delicious. Meat sauce was a 10 with the chicken tender and moist. Bread just average but both chicken dishes were perfection. The pasta was slightly el dente which is perfect for me.....I will be back.
