restaurant_name,link,date,rating,title,review
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"April 11, 2021",2,"Pick-Up Order was 30 Minutes Late, Not Everyone wore masks & NO Social distancing!","Although the food was good, we were disappointed for three reasons: First, our order was 30 minutes late. The online order was confirmed for 5:45PM but was not ready until 6:15PM. Second, not everyone wore masks. Some staff and customers were not wearing masks. Third,...there was no social distancing in the restaurant.More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"March 30, 2021",2,Terrible. Declined terribly,"I gave you 2 stars due to the poor service quality especially thanks to the person serving our table. His name is Anas and he was beyond terrible.  To the Management of Al Bawadi, Your food quality has declined and we drove 20 miles to...your place for bad service and terrible food.  This guy waiting our table is a piece of work - busy socializing with his friends on the next table.   When the silverware was finally brought after repeatedly asking and reminding - this guy has the audacity to give me 1 napkin and 4 forks and spoons for 4 of us - he asks me to wipe it with the napkin and pass it on to others. 1 napkin for 4 people.   I doubt we are 'EVER' coming back just because of the pathetic service that Anas rendered.More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"March 23, 2021",1,Declining quality,"Albawadi's owner should be ashamed of himself for presenting an entree like this (see the pictures) and charging premium dollar for it. I ordered lamb and filet mignon and look at the pictures, I was in utter shock to even sit there when the food...was presented before me. I have been going to albawadi since 2011 and have always enjoyed their food. But this visit made me realize that, like every other business out there, these people care about their pockets rather than their loyal patrons. I understand it's a pandemic but in the food industry the quality and quantity of the food is one area WHERE YOU DON'T CUT CORNERS.More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"March 20, 2021",5,Great Food and Good Service,Wanna to try different so I tried this place and the food was really good I'm surprised when I go Mediterranean I usually get Greek food but I tried something different this time pleasantly surprised.
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"October 15, 2020",3,Poor Service,"Being the first time visiting the restaurant, we found that it has a good variety of Arabic food. However, the service wasn't professional and satisfactory which was frustrating to us. We had a situation where the waiter was unprofessional and careless with our order, so...we called the restaurant's manager to resolve our issue. Thus, I recommend the restaurant's management to improve the quality of their service.More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"September 16, 2020",2,Service is ok but food is soso,Service is ok but their beef bbq is horrible. If I throw it to the wall it might break it. There grilled cheese is really goos.
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"September 14, 2020",2,lower quality of food and service!,"Quality of service is not bad but it definitely has dropped. when we ordered the appetizers, they brought them to us at the same time as the main dinner.  Not a good idea! They used to bring complimentary Arabic coffee to the table but not...this time or even the last time.  The meat, they say the quality has not change. But I understand that now they have their own slaughter house for the lamb and beef. Its either they have a new cook or lower quality meat,  The Kabob, definitely has gristly part to it that was not removed and that made the experience very gross. I had to spit it out each time.  The Kifta Kabob was way over cooked, It was not a medium well, It was very well done, I mean over cooked, Rubbery.  The rice was cold when it came out.   I hope the service and quality of food gets better like it was when it opened . May be the covid-19 has something to do with it.More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"July 15, 2020",5,Really good flavors. ,"Really good flavors. We had the toshka chicken appetizer, mixed grill and a recommended desert. More than enough for 2 people. All of it was great. The toshka chicken was really delicious, highly recommend it if you haven’t had this before. The mint lemonade was...good as well. Enjoyed the atmosphere, friendly service and music.More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"January 16, 2020",5,Al Bawadi Mediterranean Grill,I Love this place  This place was highly recommended. OMG It did not disappoint. I couldn’t believe the amount of food we got for so cheap. Everything was so delicious and so much with different bursts of flavours from each dish. We had left overs...thank god 😋. Our waiter was funny and sweet.  There is a long wait time but worth it.  I think we waited 37 mins for a table. Free parking available in the lot. Family friendly. I highly recommend this place! ❤️❤️❤️ Make sure you try the labna and the cheese dish was on another level I don’t know what was in that cheese but omg it was sooooo gooooood! And the platter worth it. It comes with two different types of rice. 👌🏼  Enjoy 😉More
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"September 29, 2019",5,Great Resturant ,"I highly recommend this restaurant with affordable price I like them, friendly staff and clean restaurant"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"September 21, 2019",5,Magnificent Mezze,"The flavors and textures of Al Bawadi's appetizers are in the tradition of mezze, the multiple little plates that begin a traditional Middle Eastern meal. In my many years in Beirut, I quickly learned not to fill up on hummous and baba and bread. But...More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"June 8, 2019",4,Delicious Middle Eastern Food,"Food is delicious, reasonably priced, friendly staff and beautiful ambience. You must try the Arabic coffee.   Food servings are huge. Kenafa (Arabic desert) is a must for first time visitors.   I did not like the wait time. Additionally, it is awfully crowded and noisy."
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"April 1, 2019",5,Best Mediterranean Meals!!,"We LOVE Al Bawadi!  The ambiance, the service, but mostly the food!  Everything we have tried has been amazing!  Their hummus and babaganoush is second to none.  Their shwarma and kafta are the best we have had anywhere.  And that dessert...Kanafeh...Oh My Yumminess!!! You have...More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"March 22, 2019",4,Birthday Party,"Family took me out for birthday, this is a great place. The staff was friendly and knowledgeable, although our waiter had been there less than a week. He was able to suggest items with confidence and if he didn't know he found out. we had...More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"February 1, 2019",5,Chicago must see place for food and fantastic atmosphere ,"Try to visit this place for past 2 years mainly because all the delicious smell of smoking meats all around the neighborhood. Finally I had a chance to and I was blown away with decor, atmosphere, service and mostly about delicious food. BIG menu offers...More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"December 9, 2018",5,Delightful Mediterranean Dining,"Submerge yourself in a one of a kind experience that is a delight for all of your senses, not just your tastebuds. From great appetizers (hummus, babaganoush, arayas with cheese and of course falafel) to richly seasoned and grilled meat and fish. Amazing freshly blended...More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"October 29, 2018",4,Miscommunication when making reservations,"I called to make reservations to celebrate my Mother's 89th birthday with family. We asked to be seated in the tent area and also asked if we could bring a cake to celebrate. They accepted the reservation and said yes, you can bring cake. When...More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"August 27, 2018",5,Excellent Mediterranean Venue,"Starting with the Baba Ganoush sampler they provide to every table, to the uber-fresh hummus and makdous appetizers, everything is fabulous.  Tonight I ordered the Al Bawadi Seafood Mixed Grill and absolutely loved it.  The seasoned shrimp, salmon and fillet of basa were delicious.  And...More"
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"July 29, 2018",4,Not impressed ,It was ok. I was looking for more comfy Palestinian food. The service was slow or at least our server.
Al Bawadi Restaurant,https://www.tripadvisor.com/Restaurant_Review-g35712-d2243156-Reviews-Al_Bawadi_Restaurant-Bridgeview_Illinois.html,"May 9, 2018",4,Authentic!,"The authentic vibe of this place blew us away!  The waiter was from Jordan and didn't know where Portland, Oregon was.  The food was really good, but the atmosphere was like going on a tiny vacation to Lebanon or Israel, even down to the armed...More"
