restaurant_name,link,date,rating,title,review
MingHin Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d2520471-Reviews-MingHin_Cuisine-Chicago_Illinois.html,"December 29, 2021",2,Disappointing Dimsum,"We chose Minghin for dimsum because reviews were stellar. Unfortunately, it did NOT live up to the hype. The dimsum was “okay” - fine but far from wow - and the service was lacking overall. The restaurant itself was tired and dingy. Go elsewhere."
MingHin Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d2520471-Reviews-MingHin_Cuisine-Chicago_Illinois.html,"November 20, 2021",5,Delicious and filling,Hot tea is always the way to start an evening of good food. Won ton soup was also hot and the pork was tasty. Liked the coating on the shrimp in the walnut shrimp. Shredded pork with udon noodles was good. The place is large and we were seated in an ample booth. The menu had many offerings we would have liked to try.
MingHin Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d2520471-Reviews-MingHin_Cuisine-Chicago_Illinois.html,"October 24, 2021",3,Order pizza,Cuisine? $300 of food picked up for a family get together on trip to Chicago. The best I can say is ehhh. Nothing and I mean nothing was memorable. And there were a couple of that was a mistake. I had such high expectations reading the reviews. I now wish we had ordered pizzas instead
MingHin Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d2520471-Reviews-MingHin_Cuisine-Chicago_Illinois.html,"September 19, 2021",5,favorite dimsum!!,"came here with family and some big expectations from other friends who recommended this place. it did not disappoint!!!! everything was soooo good. if we hadn't been tied up we would have come back for dinner!! by the time we left, there was a huge line of people waiting for their number to be called so we had gotten there at a good time. this place is going to be a regular stop for me from now on"
MingHin Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d2520471-Reviews-MingHin_Cuisine-Chicago_Illinois.html,"August 30, 2021",4,Good dim sum and the restaurant was not a hole in the wall,Highly recommend the dim sum. Comes out nice and fresh. I like the concept that the food is made to order and not sitting on a cart. Ordered several items on the dim sum menu as well as the lunch menu. The ribs could be better but they were still decent. Everything else was great
MingHin Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d2520471-Reviews-MingHin_Cuisine-Chicago_Illinois.html,"August 27, 2021",5,Chinese in Chicago's Chinatown,"We arrived at MingHin on a Friday around 8:30 pm without a reservation. Our wait was only 15 minutes for a table. This location of MingHim did not have outdoor seating. The waiter was very helplful with our order, so we did not have to use the pad to place our order. For the two of us, we ordered 4 dim sum dishes and one order of steamed vegetables and enjoyed all of the food. We probably should have ordered one more dim sum. Food came quickly and was very hot. The wine was not of great quality. Compared to the NYC area, this was a $$ place, not $$$. It was nice that the majority of diners were Asian. We would return to MingHin on our next trip to Chicago."
MingHin Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d2520471-Reviews-MingHin_Cuisine-Chicago_Illinois.html,"August 13, 2021",5,In search of the Best of Oriental Cusine.,"I have a dear friend who I connected with early on because of our love for Oriental Food... particularly Hot and Sour Soup! I know, odd pairing right??? We have traveled and sampled Oriental Food far and wide on every opportunity that we can. Our latest adventure was into the famed China Town District of Chicago. The area came highly touted and didn't disappoint. Our recent trip was a little over two hours from our homes in Wisconsin to MingHin Cuisine on Archer Avenue, in Chicago. We read dozens of positive reviews before coming and were prepared to expect excellence! We started with a lovely cucumber salad, potstickers and seafood hot and sour soup. WOW!!! The cucumber salad was amazing and the flavors of the dressing was steeped in garlic and wonderfully flavored oil. The potstickers were perfectly formed and steamed, stuffed with a savory sausage. The sauces were amazing! The sea food hot and sour soup was the finest. The broth was rich in flavor, but as we explored each ingredient in the soup the flavors burst forward onto the pallet! The taste was extraordinary by any standards.Our entrees included crispy fish, onions and green peppers in a red sweet and spicy sauce - not unlike sweet and sour. This was delicious. We also ordered a combination fried rice, with beef, chicken and pork, as well as an order of shrimp with garlic lobster sauce. Both of these dishes we were able to add vegetables or our choice - a very nice option for those who love to enhance their favorite dishes with specific veggies! We truly appreciate that flexibility of a chef and kitchen with their recipes! All in all, this was the finest of dining experiences and we will return with guests as soon as our schedule allows. Bravo, MingHin Cuisine!!!"
MingHin Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d2520471-Reviews-MingHin_Cuisine-Chicago_Illinois.html,"July 27, 2021",4,Great Chinese Restaurant,"Have been ordering take-out from one of our favorite local restaurants for months, so getting back there to eat in was great. Service is efficient, food is delicious as were some well mixed gin martinis. Reasonable pricing with high-quality food is a great combination for your dining consideration. Check it out!"
MingHin Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d2520471-Reviews-MingHin_Cuisine-Chicago_Illinois.html,"July 18, 2021",4,Dimsum place in Chicago,"Quick serving, friendly stuff, delicious food, good pricing - everything I like. This was my 2nd time. I think this time food was better."
MingHin Cuisine,https://www.tripadvisor.com/Restaurant_Review-g35805-d2520471-Reviews-MingHin_Cuisine-Chicago_Illinois.html,"July 5, 2021",3,Good Dimsum but a bit expensive,"Good dimsum but a lit too expensive.  Small is $4.45, Medium $4.95, Large $5.45 and Special is $7.25.  There are plenty of selections.  The place is nicely decorated.  Service was good.  Food is authentiic Chinese dimsum."
