restaurant_name,link,date,rating,title,review
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,"February 21, 2022",5,Impressed my friends,"I brought my friends from out of town here, and they loved it! I’d been here before but it was great to hear them praise the food so much, and it did not disappoint. We ordered several rounds of tapas and did not regret any of the choices. This is an amazing place if you like to eat “family style”."
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,"February 13, 2022",3,Hard to enjoy the meal...,"While the food we ended up getting was very flavorful and cooked well, it was hard to focus on enjoying the meal and experiencing the restaurant since it was absolutely freezing! My friend and I both ended up putting our winter hats and coats back on during the entire meal. For as popular and highly sought after that this place is, it was unacceptable to have this type of experience. I would suggest getting only take-out at this location, unless you enjoy eating meals feeling like you are in a cold, dungeon. Maybe we were just put in the wrong part of the restaurant, but it is hard to tell if other spots were better heated. Not a great first experience."
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,"January 26, 2022",4,Great Tapas for Breakfast,"Hadn’t really tried tapas for breakfast before but Ba-Ba-Reeba set the bar pretty high. Everything we had was real good: the omelette, spicy potato, beef empanadas, croquetas and the French toast to top it off. Service was prompt and attentive. I’d go back without hesitation."
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,"January 4, 2022",5,Great experience,"Amazing food and fun ambience. The red wi e sangria was amazing. We had the grilled calamari, the hangar steak, peri peri chicken, parathas bravos, just too name a few. Amazing service as well."
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,"November 6, 2021",5,A Chicago Staple,"Amazing tapas! We had 10 different dishes, any one of which was absolutely delicious. Favorites were the bacon wrapped dates, patatas gravas, goat cheese bathed in tomato sauce, burrata with avocado toast and fried peppers. Simply wonderful!"
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,"September 15, 2021",5,Fun place to eat,"We booked a table for 2 just in case. Turns out that this ""cafe"" has plenty of outdoor dining area and even bigger inside seating. Our friend familiar with this Windy City told us it was a fun place to go. We agree, the inside ambiance was just so mellow with versions of Picasso covering the walls to complement Spanish ham dangling by the entrance.Here's how we'd rate the tapas we ordered:Item #31 - stuffed mushroom, came piping hot and delicious - 5 starsitem #52 - beef empanada, also piping hot and tasty - 5 starsitem #43 - octopus with potatoes, stayed hot, perfectly tender and great flavor, the best of our order - 5 starsitem #64 - fried chicken thighs, tender and tasty - 5 starsItem #61 - iberico charcuterie, despite being among chef's recommendations, it was quite unexceptional and deserve a rating not higher than 3 starsCatalan ""crystal bread,"" because of tomato puree topping, the bread was soggy and worthy of barely 2 starsI thought the price was reasonable for the quality of food and does not deserve $$$$ as some have rated."
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,"August 11, 2021",5,Spanish in Lincoln Park find,"While Cafe Baba Reeba has been in Chicago for decades, it was a new find for me. We had a wonderful family dinner here in August with Emma as our friendly and knowledgeable server! We shared multiple tapas plates, chicken/vegetable paella and classic red sangria. We loved it all and had no room for their dessert selections. Highly recommended & we will be back,"
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,"July 6, 2021",5,Great Spanish restaurant ,"We loved everything about it. The tapas, the paella and the sangria.   I hadn't eaten paella de mariscos in several years, and this one is a s good as I remembered them.  The ambiance was also great."
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,"May 2, 2021",3,Ok Tapas,"We came here for dinner with the family, and we were seated right away. The staff was very friendly, helpful, and very eager to please. We ordered a combination of tapas and Pinxtos which were good, but the best part of the meal was the cold “gazpacho” soup. The pear sorbet was good as well. Overall a good experience."
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,"March 26, 2021",1,Arrogant Receptionist,"Have dined here in the past and enjoyed experience. We have patronized other restaurants in this chain for years and always found them welcoming with friendly service. Not this time. My wife and I stopped to have lunch and before we could reach the isolated reception desk the receptionist barked that I had to put on a mask. I was already in fact pulling it over my chin to cover my nose. We elected to dine at a table in adjacent bar, but she lectured us 1st that we had to cover don our masks whenever staff came to the table, We said we would not and elected to leave when she said, ""I'm sorry you don't care about our safety"" This obvious millennial was snotty in a condescending manner which was offensive. If this restaurant wants to return to pre-pandemic business they wiil need to do a better job of training employees in appropriate customer service."
Cafe Ba-Ba-Reeba!,https://www.tripadvisor.com/Restaurant_Review-g35805-d430790-Reviews-Cafe_Ba_Ba_Reeba-Chicago_Illinois.html,"March 7, 2021",5,Wonderful Experience!,"Even with COVID, we were able to experience an amazing time here. Reservations a must! Tables set a good distance apart. Really fun small plates. The garlic potato salad . . . . yum. Who would have guessed?! Shrimp , excellent. Everything we had was outstanding. Service was great. Reservation was upheld appropriately. Would definitely go back!"
