restaurant_name,link,date,rating,title,review
Jimmy's Red Hots,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195572-Reviews-Jimmy_s_Red_Hots-Chicago_Illinois.html,10-Aug-20,5,Great dogs!,"Food was great as usual and service is super fast. I was able to hop off the bus, grab a couple hot dogs, then get to the bus stop before the bus got there."
Jimmy's Red Hots,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195572-Reviews-Jimmy_s_Red_Hots-Chicago_Illinois.html,13-Oct-19,5,Jimmy’s is a perfect Chicago dog experience,"This long time Chicago dog spot is perfect in all regards. There is plenty of parking behind the building. The two counters each welcome a separate line of customers. The dogs come wrapped with a generous helping of fries. The fries are of good diameter and are cooked to tasty crispness. Agree to the extra salt on your fries. If it kills you, you will die with a smile on your face. The steamed Vienna dog was dressed with chopped onion and two terrific sized sport peppers. Of course, you will want to stand at the counter to chow down."
Jimmy's Red Hots,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195572-Reviews-Jimmy_s_Red_Hots-Chicago_Illinois.html,11-Jul-19,5,Great Red Hots,"Every time I visit this, It’s always the same, DARN GOOD polish’s, Hot dogs. THEY HAVE NOT LET ME DOWN. And I’ve been coming here for years. EXCELLENCE for years"
Jimmy's Red Hots,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195572-Reviews-Jimmy_s_Red_Hots-Chicago_Illinois.html,15-Jun-19,5,"Chicago, Creator Of The Hot Dog, So Eat It Right!","I've been going to Jimmy's since I was a kid and then a bag of french fries were 34 cents! Just up the block from my old house, there's no other place to get your red hot from when in Chicago. They are the epitome of the Chicago dog. I'm in Chicago 25 minutes and Grand Avenue exit is it; before anything else! There isn't anything better than a Jimmy's Red Hot with some glow in the dark relish! So, what's Chicago style? Just don't------don't----ask for Ketchup."
Jimmy's Red Hots,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195572-Reviews-Jimmy_s_Red_Hots-Chicago_Illinois.html,7-Jun-19,5,Chicago’s Best Hot Dog,"If you grew up in Chicago, you most likely had a hot dog from here. This is authentic Chicago food! The service is quick and the employees are friendly. The cost is low and is worth it! I absolutely love the hot dogs and fries from here and highly recommend! "
Jimmy's Red Hots,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195572-Reviews-Jimmy_s_Red_Hots-Chicago_Illinois.html,19-Aug-18,5,Best hot dogs in the chi,Where can I start proberly one of the best hot dog places in Chicago. This little stand in Humboldt park is crowded during lunch hours and never ever ask for ketchup
Jimmy's Red Hots,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195572-Reviews-Jimmy_s_Red_Hots-Chicago_Illinois.html,3-Aug-18,5,Very delicious,"I grew up in Chicago and I used to go there all the time love the hotdogs with the fries . Very delicious, that is one the things that I miss most from Chicago. Wish they would sell them like that in California."
Jimmy's Red Hots,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195572-Reviews-Jimmy_s_Red_Hots-Chicago_Illinois.html,25-Jul-18,5,Consistently good!,This place has been there forever. I used to go there in the 60s when I went to grade school nearby. Went there yesterday and it was good as always. Highly recommend. I like my polish boiled rather than portillo's grilled and that's what I had.
Jimmy's Red Hots,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195572-Reviews-Jimmy_s_Red_Hots-Chicago_Illinois.html,9-Dec-17,5,Simple but Delicious!,"In our quest to do all things Chicago during our recent short visit to the Windy City, we found ourselves at Jimmy's while searching for an authentic Chicago-style hot dog. I was a little nervous driving thru a couple of the areas we went thru to find it, and when I saw Jimmy's I'll admit, I was a little skeptical. Decided to give it a shot, and NEVER LOOKED BACK! It was really, REALLY good! And - felt like such a non-touristy experience! Took me a minute to decide what I wanted, then went with a Polish sausage and fries. Crazy good! Of course there was NO KETCHUP - and that was okay! Had mine with mustard and relish and was wowed! Staff behind the counter were extremely friendly to these visitors from Kansas! Ample free parking, quick service, good food. Win, win in my book!"
Jimmy's Red Hots,https://www.tripadvisor.com/Restaurant_Review-g35805-d4195572-Reviews-Jimmy_s_Red_Hots-Chicago_Illinois.html,5-Jul-17,4,Good Grub,Heard about Jimmy's online so we stopped by on our way into Chicago for a July 4 weekend. 6 of us .. the dogs were good and the fries even better. Huge order of fries with the dogs and super prices. Definitely a traditional stop for us now .. I just have to remember to bring my own ketchup .. I know they say no ketchup on dogs but come on .. ya gotta have ketchup for the fries!!! Not a bad part of town .. at least when we were there .. mid afternoon.
