restaurant_name,link,date,rating,title,review
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"November 27, 2021",5,Gather is a place to Gather and Share Great Food and Service!,"Wonderful Food and Service!     Gather is known for gather and share, with multiple small plates to share, appetizers and reasonably sized entrees.  Our group of 5 had 4 share plates, one appetizer and two entrees all of which were shared and was just the right...amount of food- although the apple fritter dessert did put us a bit over the edge…:).    All of the food was very good, the highlights were the crispy cauliflower, gnocchi, and the ravioli appetizer, plus the pork shoulder which was fall off the bone tender with an interesting curry/tomato sauce.  Drinks were well made, service was excellent so the evening at Gather was outstanding.More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"July 19, 2021",4,GREAT BURGERS,Sat at Chiefs counter and enjoyed the activity of the cooks. Very professional. Decent service but a little slow to get check. Burgers were perfectly cooked and very tasty. Fries were a Bplus.
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"February 4, 2020",5,Just great experience,service and food were just wonderful had half chicken and it was best chicken meal i have ever had. I strongly recommend if your looking for high quality interesting food
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"January 18, 2020",5,Great place for any meal,I live just down the road and have been coming to gather as often as I can. Always consistently great food and quality service. They have a great patio and I've never had a problem with the noise level.
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"October 21, 2019",3,"Great Food, Wish I Could Have Heard the Description of What It Was","This is one of the loudest restaurants ever.  Like, cannot hear the person next to you loud.  The waiter came over and with his nice, quiet voice explained everything to us, with our party catching about every 4th word he said.  ""Tonight.... meat.... plate.... sauce....basil....""...Yeah, it is hard to understand anything communicated in this space.    If they are not going to do anything to try and quiet the sound levels, then they need to have whatever the wait staff is trying to say WRITTEN OUT for guests.  The food was delcious.  Fun for sharing.  But again, when it arrives, don't expect to hear what you are eating before you dig in.More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"October 15, 2019",5,Ignore the noise level because this place is amazing !!!,"First i have to say the noise was an issue, but this joint is a legit top tier restaurant The Asparagus salad was incredible and the Chicken dinner was nothing short of superb. In short you must go and try Gather.  ."
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"August 20, 2019",4,Nice brunch or dinner,"As you can see I have been to both Gather and the adjacent Warbler in the past for dinners. Both places have the same owner. I like both places for different reasons.   My party of three recently returned to Gather two times, once for dinner...and then again for brunch. Let me first describe our dinner experience. Gather is a shared plate dinner experience. We started with the kimchi pancake for $12 and the salmon for $13. Then we enjoyed the tartare for $13 and the brussel sprouts for $9. We ended with the uovo ravioli for $11. As you can see from my pics I enjoyed two overnight sensation cocktails for $10 each.  John took care of our table needs. Our total bill was $132 less gratuities.  Then we returned for my first time here for my party of three for our 11:00am brunch reservation. When we arrived we were seated at the high top table nearest to the front entrance behind the host. The place was packed with customers.   I started with my bloody mary for $8. I also enjoyed my eggs benedict for $13. My eggs benedict were a bit over cooked. I really prefer a very liquid egg yolk. A side order of bacon is $5. A single scrambled egg is $1.50.  I ended my brunch with my bellini for $9. A cup of coffee is $4. Our total bill was $92.07 less gratuities. Courtney accommodated our table needs. I will return here again for dinner, brunch or even lunch.More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"July 9, 2019",4,Delicious Brunch,"My son and DIL recently moved to Chicago so I was excited to visit them. A foodie friend from “home” had read an article on Gather and had told them about it, so I was all in for checking it out. The food was excellent...as were the drinks. Very good service too. Would definitely go back!  ****4 Stars is a very good rating for me. I reserve 5 Stars for the best I’ve ever had and wouldn’t change a thing.*****More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"July 6, 2019",5,Wonderful find!,"Friends recommended this marvelous restaurant.  We arrived early for our Sunday evening reservation and opted to be seated immediately in the heated patio. That was a great choice.  The staff was knowledgeable, helpful with a guest with some health limitations, and we enjoyed a flavorful...range of dishes, including dessert.More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"May 5, 2019",5,"HINT: arrive when the restaurant opens, without reservation, and sit at the Chef's counter","Impromptu date night!  We called early in the day knowing that reservations were not available.  We were told that if we would likely get seated at a table if we arrived right when the restaurant opened.  We were surprised, then, when we arrived to an...empty restaurant, as the second couple in line, and tables were no longer available for those without reservations.  (Apparently there was a party that evening; your mileage may vary.)    We had the option of sitting at the Chef's counter or the bar.  At first we were both surprised and annoyed at not getting a table.  But silly us.  Sitting at the Chef's bar was fantastic.  Gather has a very small kitchen, and the three chefs/cooks shared the space very well.  It was a treat to watch them prepare all the dishes, including the ones that we ordered.  The fresh homemade cheese dessert is outstanding.  The whole meal was very good -- salmon, tartare, apple salad, scallop main, and the wines.  We shared the scallop main and the server recommended an extra scallop; we appreciated that they could accommodate.  The all-in price for two people for dinner (sharing one main) with alcohol and tip was $137.More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"April 29, 2019",4,Good Food and Service,"We  frequently visit Gather because we know the food and service are consistently good. If you like brussel sprouts, give them a try and you won’t be disappointed. When the weather is warm, they have an outside eating area which is nice. I’d definitely recommend...More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"April 16, 2019",5,Get the Donut,"We had brunch on a Sunday, and everyone LOVED everything! Not one issue with any of the food.  And no matter what you get, though — start with the donut!  You will be glad you did! :-)"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"April 12, 2019",5,The food (and service) changed my mind!,"We went with my daughter and her Boyfriend who told us it was the best food they have had at a restaurant.  When we walked in I my impressions were negative, It was crowded and there was not much room around the tables.  The noise...More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"March 30, 2019",5,My favorite Chicago restaurant!,"Exemplary restaurant, in every sense of the word!  The service and ambiance are wonderful, and the food is unparalleled.  Gather's manager Emily, is amazing!  She orchestrates all the details, with her assistant manager Erin, and ensures that all of the diners are seated, comfortable, and...More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"January 15, 2019",4,"Creative food, limited (but tasty) entrees","Not a ton of selection on entrees, but very well executed, creative flavor mixings.  Limited, but reasonably priced wine list.  A couple of shared plates, 4 entrees and a bottle of wine came in at $200, including tip.  A good place for dinner before a...More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"January 14, 2019",4,Mixed Performance,"Dinner early on Sunday evening. Had our reservation, seated  us promptly, water was poured immediately and a bottle was left on the table.  Orders were taken at just the right time.  Food service was prompt and well paced.   The Steak Tartare appetizer was not the...More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"January 6, 2019",4,Delicious comfort food,"I recently had dinner at Gather with my partner and uncles, and we loved the family style meal Gather offers on Sundays. Now that I live outside of the US, I miss the midwest comfort foods (corn bread, fried chicken, juicy beef...) and this totally...More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"November 9, 2018",5,Order new food or old favorites served in new ways,"Gather Restaurant encourages sharing dishes so all diners can have the most unique experience. Take their baby carrots - with couscous and beets and almond brittle. Or salmon with cucumber creme fraiche and sourdough bread. We came for the arctic char, but enjoyed the rib...More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"August 11, 2018",5,Great Fine Dinning at a reasonable price,"I had dinner here recently with my son, it was wonderful!  It was the best dinning experience that I have had in awhile.  We ate outside on their patio, which had s very warm ambience with lots of plants and lights draped across and candles...More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"August 11, 2018",4,Excellent small share plate dinner,I enjoyed dinner once before at a table in the rear inside of the restaurant. This was my first time to eat dinner in the rear outside. It was a very comfortable day. My party of three adults had a dinner reservation for outside at...More
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"August 1, 2018",5,"Delicious food, beautiful presentation, memorable meal","Gather never disappoints: their food preparation and presentation are excellent, as is their service.  This is not our first visit, but this was the first time we actually got a table at their magical patio, more like a private garden in the back of the...More"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"August 1, 2018",5,Best restaurant in the city ,How on earth this doesn’t make the top of list of restaurants to eat at in Chicago is beyond me. Best meal I’ve had ever in Chicago. I have returned many times and each meal is perfection. Cute non touristy neighborhood too. Worth the uber...More
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"July 9, 2018",5,Great Mother’s Day dinner.,"Went there with my sister and our adult children Mother’s Day weekend.  We shared numerous appetizers, too many to remember.  All were excellent."
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"July 1, 2018",5,Great food,"Great food an service The family meal is great Chicken,pork,polenta and potatoes were delicious. Great for friends and family"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"May 29, 2018",5,Perfection ,"The food, service and atmosphere were perfect. The staff was so attentive. The food-yum! Steak tartare, crispy cauliflower, raviola, and the apple fritters-oh, the apple fritters. It was an incredible birthday dinner!"
Gather,https://www.tripadvisor.com/Restaurant_Review-g35805-d4719626-Reviews-Gather-Chicago_Illinois.html,"May 27, 2018",5,Fabulous Dinner!,The food at Gather was amazing and service top notch. Save room for dessert! Will definitely be back next time we are in Chicago!
