restaurant_name,link,date,rating,title,review
Chez Joel,https://www.tripadvisor.com/Restaurant_Review-g35805-d428852-Reviews-Chez_Joel-Chicago_Illinois.html,28-Oct-21,5,very nice place,"The place is cozy, next to UIC campus. It is cozy and clean. The food is decent. The appetizers are exceptional, especially the baked clams and the octopus. Will go back again."
Chez Joel,https://www.tripadvisor.com/Restaurant_Review-g35805-d428852-Reviews-Chez_Joel-Chicago_Illinois.html,24-Oct-21,5,Awesome!,"As we love French food, this has become our go to place in the city. The food, service, and overall ambience are second to none, not to mention the prices are extremely reasonable. If you love escargot, theirs as an appetizer is phenomenal, traditional bourguignon style, finished off with a dash of Pernod and bread crumbs. Don’t even get me started the filet mignon, perfectly prepared to order, and mouthwatering. Many other delicious choices on the menu, you really can’t go wrong with anything cuisine wise here. Speaking of service, if you happen to have either Maggie or Nancy as your server, consider yourself lucky. These two ladies know what it means when it comes to customer service. Kudos to all for another wonderful evening last night and thanks so much for everything you did for yet another memorable evening for us."
Chez Joel,https://www.tripadvisor.com/Restaurant_Review-g35805-d428852-Reviews-Chez_Joel-Chicago_Illinois.html,2-Jul-21,4,A little off . . .,"Back after after a couple of years, this (and the family's previous Clark Street Bistro) had been favorites for decades. This time . . . the wait for a waiter (and a chance to order drinks) seemed forever. Bread (wonderful crusty bread) was delivered at last and nicely warmed, with butter accompaniment -- but no cutlery for way too long with which to spread the butter . . . as the bread cooled. Starters, once they got here (""in a second,"" promised the waiter, who, um, misspoke) were fine (my escargot, my wife's salad). Then another long, long wait (without explanation or inquiry re another drink, my martini being long-gone) -- until my wife's scallops (lovely and very good) and my poulet aux romarin (a surprisingly dry and flavorless roast half chicken, recommended by the waiter over the coq au vin) finally arrived. On the plus-side, prices remain reasonable (which sounds like an intro to an old joke, but no) and the small room pleasant (opt for the garden, if the weather's right); and inn fairness, perhaps things are still in some disarray as our restaurants recover from the pandemic, which in part kept us away for so long. So we'll give it a while before returning, watch the user reviews and hope they get their act together again soon."
Chez Joel,https://www.tripadvisor.com/Restaurant_Review-g35805-d428852-Reviews-Chez_Joel-Chicago_Illinois.html,17-Oct-20,5,5 star French Food at 2 Star Pricing with Free on Street Parking or $7 Valet,"5 star French Food at 2 Star Pricing with Free on Street Parking or $7 ValetI love to eat and French food is right up there at the top. Chez Joel is a wonderful little neighborhood restaurant located in little Italy between the two UIC campuses. They have valet parking and a beautiful shady patio. Their appetizers are yummy - sometimes we just order all appetizers and then have dessert!This is one of my favorite restaurants in Chicago - I seriously do not understand why there are no huge lines to get into this place. I think people think that French food will be too expensive - but most entrees are $20 - $25 dollars. From 4-6 PM they have a Prix Fixe menu that gives you a choice of appetizer, entrée and dessert for around $36.There is great food all over this neighborhood but this is right at the top - can almost always get in last minute with no waiting. They have valet parking. Or there is free street parking along Taylor.I have eaten lunch here but the dinner menu is better. They also have a nice wine list with many bottles priced at $40 or below"
Chez Joel,https://www.tripadvisor.com/Restaurant_Review-g35805-d428852-Reviews-Chez_Joel-Chicago_Illinois.html,31-Jul-20,5,Exquisite French Cuisine Casual quaint atmosphere ,"Chez Joel is one of my favorite French restaurants in Chicago; and I truly missed dining in during our pandemic. Last year I celebrated my birthday here and since Chez Joel finally reopened for dine in I decided to visit here this past Wednesday to enjoy their cute outdoor private patio. I prefer dining outside during the summer season; but if you prefer to sit inside there's ample room inside the bistro and no overcrowding. All the staff here is incredibly friendly and they work well as a team making sure you have enough bread, water and food.I love ordering their appetizers so I chose a cheese platter with fruit and walnuts and a rich and buttery tray of escargot.Their escargot is one of the best in the city of Chicago and the sauce is perfect with their crusty fresh baked bread baguette.The cheese plate comes with crispy toast points but if you need more bread it's always available to you. I think if you come here as a couple three sharable appetizers and a dessert are more than enough.I always have a wonderful dining experience here and if you dine here during a work week night you won't be rushed out because weekends tend to be busier here. I highly recommend you call ahead for reserved seating and eating outside is always a huge treat."
Chez Joel,https://www.tripadvisor.com/Restaurant_Review-g35805-d428852-Reviews-Chez_Joel-Chicago_Illinois.html,27-Jul-20,5,We had a spectacular dinner at Chez Joel,We had a spectacular dinner at Chez Joel. The food was marvelous and the French menu was varied. The prices were reasonable. The wine was also fairly priced. The decor was lovely as was the clientele. Chez Joel is a romantic restaurant. It has a lovely outdoor area. which was where we dined. The wait staff were very professional and charming. The location is on Taylor Street. We highly recommend Chez Joel.
Chez Joel,https://www.tripadvisor.com/Restaurant_Review-g35805-d428852-Reviews-Chez_Joel-Chicago_Illinois.html,29-Dec-19,5,absolutely incredible!,"seriously amazing! the food was perfect, loaded with flavor! escargot, calamari, filet muy on, chocolate cake all delicious and loaded with flavor. 100% would recommend"
Chez Joel,https://www.tripadvisor.com/Restaurant_Review-g35805-d428852-Reviews-Chez_Joel-Chicago_Illinois.html,20-Dec-19,2,"Second chance, bad mistake.","We had been in CJ, several times, years ago. We used to drive all the way from the suburbs, until we found the steak tough. Year and a half ago, we moved to the city. Last night, we decided to give it another chance. What a disappointment! My husband's appetizer, the escargot, were delicious. My octopus, one of the specials of the day, was rubbery. My husband's steak frutas was grilled to a perfect medium rare but a tough piece of meat. My sea scallops were nicely presented but were lukewarm, at the most and in need of a little more searing. The waitress was informed of our dissatisfaction. She responded that they do not get any complaints. Perhaps, we expect higher /better quality when we dine out!On the positive side, the ambiance is inviting and as we were celebrating our anniversary, they presented us with a complimentary glass of rose sparkling wine.Second chance, last one! Definitely do not recommend and will not be back."
Chez Joel,https://www.tripadvisor.com/Restaurant_Review-g35805-d428852-Reviews-Chez_Joel-Chicago_Illinois.html,23-Sep-19,5,The Real Deal,"Better food and service than many of the Parisian bistros we've visited over the years. Not trendy, not overly buzzing, but absolutely the real deal. Coq a Vin was superb, and the scallops were artfully presented. And everything was perfectly cooked and seasoned, presented with attentive but not fussy service. Approachable wine list is extensive, and priced at about half of the trendy places downtown. A truly lovely experience, particularly in the outside garden."
Chez Joel,https://www.tripadvisor.com/Restaurant_Review-g35805-d428852-Reviews-Chez_Joel-Chicago_Illinois.html,4-Aug-19,5,Enchanting and romantic french bistro with sumptuous Cuisine ,"I appreciate a restaurant with excellent, clean tasting food, a kind hearted attentive staff and a welcoming ambiance. Chez joel Bistro is a unique French restaurant that has now become my favorite place to spoil myself with decadent French food and a loving, playful vibe. Last week on July 27 I wanted to go somewhere special for my birthday and I had a craving for French food so I did my online research and found this elegant and welcoming gem. I told the hostess Amber over the phone that I was reserving a small table for one and that I was also celebrating my birthday. I arrived at 8pm and to my great delight I found out they have an outside patio with romantic lighting and plants. I asked if I could sit outside instead and she made that possible for me within just fifteen minutes. As I was seated all the servers and bus people worked smoothly as a friendly, unified and cohesive team. Agnes brought me a menu and made some suggestions after I inquired about their various appetizers. I chose the warm brie which I thoroughly enjoyed, the fresh beet salad and the escargot which was buttery and succulent. The crusty baked French bread is some of the best I've ever tasted and it went well with the escargot sauce. They then surprised me with a birthday dessert of ice cream and a candle and since I already ordered profiteroles it almost felt ""naughty"" but hey it's my birthday who diets on their birthday! I loved my meal so much that I returned twice more and enjoyed a dinner with a friend of mine yesterday where I ordered the sea scallops and delicious chocolate moose for dessert. This late afternoon I wanted to sit outside again and try their prix fix menu so I chose the French onion soup, seared salmon with vegetables and profiteroles again for dessert. Agnes was my server on all three visits and Gabriel did an excellent job bringing over plates and water if Agnes was too busy. This afternoon I met Carlitos and he gave me the names of the staff here who were so helpful and welcoming. If you love to spoil yourself and really relish and take your time in a true European atmosphere then you will truly appreciate the level of service, the comforting, beautiful setting and the succulent French cuisine. In my estimation this bistro is one of the very best restaurants I've come across for authentic French cuisine and positive vibes. Even if you just wish to come here for a few appetizers your experience here will be a positive one and I guarantee you will leave feeling satiate. "
