restaurant_name,link,date,rating,title,review
Bryn Mawr Breakfast Club,https://www.tripadvisor.com/Restaurant_Review-g35805-d8459765-Reviews-Bryn_Mawr_Breakfast_Club-Chicago_Illinois.html,"August 27, 2021",5,"An invigorating way to start a hot, summer day","For a pair of 80-year-old retirees, breakfast has become an important part of our daily routine. Especially for someone who drank only a glass of orange juice before going off to school in the 1940s and 1950s. Now breakfast has become an invigorating way to start a hot, summer day. And Bryn Mawr Breakfast Club is one of our favorite go-to destinations. Located at 3401 West Bryn Mawr Avenue in Chicago's Hollywood Park neighborhood, at Kimball, west of Kedzie, near the Northeastern Illinois University campus in the North Park community, it was opened in 2014 by owner/chef Manny Mejia, a breakfast/brunch venue serving classic fare with a twist in a snug, rustic, chic interior. Open from 7 to 3 daily, Bryn Mawr offers some traditional and conventional dishes but what stands out are the signature items that you won't find on other menus. Oh, you can order steak and eggs and two scrambled eggs with potatoes, sausage and toast and biscuits. And I always start with old fashioned oatmeal with fresh berries, dried cranberries, walnuts, brown sugar and milk. But that's where traditional ends and twist begins. My wife can't pass up the bread pudding French toast with two slices of house-made bread pudding served with orange coulis and fresh berries. I have become addicted to the sourdough stuffed French toast with Canadian bacon, scrambled eggs, arugula and asiago cheese and served with roasted potatoes. The smoked salmon plate with cream cheese and the blueberry multi-grain hotcakes and the biscuits with pork sausage gravy, scrambled eggs, sausages and roasted potato hash also are highly recommended. In fact, it's an invigorating way to start any day."
Bryn Mawr Breakfast Club,https://www.tripadvisor.com/Restaurant_Review-g35805-d8459765-Reviews-Bryn_Mawr_Breakfast_Club-Chicago_Illinois.html,"November 9, 2020",5,"Rise and Shine, breakfast with a twist","There aren't any traditional breakfast items on the menu...no Eggs Benedict, no ham and eggs, no Belgian waffles, no Denver omelette...but Bryn Mawr Breakfast Club serves classic morning fare with a twist that makes breakfast as entertaining as it is delicious. Located at 3401 West Bryn Mawr Avenue, at Kimball, near Northeastern Illinois University, in the North Park neighborhood, Bryn Mawr Breakfast Club is a busy breakfast/lunch restaurant that is open from 7 to 3 daily for dine-in service in a heated patio and delivery from Fullerton to Oakton to Laramie to Broadway. The rustic/chic interior designed by Daniel Malone of Root Chicago is in sharp contrast from most breakfast venues. But it's the menu that sells the place. I started with a glass of fresh squeezed orange juice and a bowl of old-fashioned oatmeal with fresh berries, dried cranberries, walnuts, brown sugar and milk. My wife indulged in a fresh fruit salad. For the main event, I was delighted with sourdough stuffed French toast stuffed with Canadian bacon, scrambled eggs, arugula and asiago cheese with roasted potatoes. My wife opted for the salmon plate club, smoked salmon with cream cheese, red onion, cucumber, tomato, capers and toasted bagel with potatoes. And a cup of fresh-brewed coffee. Two other items on the menu that bear future attention are bread pudding French toast, two slices of bread pudding with orange coulis and berries and blueberry multi-grain hotcakes with blueberries and walnuts topped with blueberry jam and powdered sugar. Or how about cinnamon hotcakes with apricot glaze, frosting and powdered sugar? At Bryn Mawr Breakfast Club, breakfast is a pleasant wakeup call."
Bryn Mawr Breakfast Club,https://www.tripadvisor.com/Restaurant_Review-g35805-d8459765-Reviews-Bryn_Mawr_Breakfast_Club-Chicago_Illinois.html,"October 3, 2020",5,So I found this quaint breakfast joint...,"So I found this quaint breakfast joint doing a random search on Google. I don’t often leave reviews unless I’m super happy or super miffed. This place is lovely, the staff are super friendly, they apply appropriate and safe practices, the food was delicious, and the price surprisingly reasonable. I ordered the chorizo skillet with a cappuccino, my mouth is satisfyingly tingling, I’m feeling good, great way to start the weekend! Definitely coming back! "
Bryn Mawr Breakfast Club,https://www.tripadvisor.com/Restaurant_Review-g35805-d8459765-Reviews-Bryn_Mawr_Breakfast_Club-Chicago_Illinois.html,"January 20, 2020",5,Daily Special,A small place with a at home feeling. Small menu but packed with amazing choices all made fresh everyday. I got blueberry and mango waffle with custard and it was amazing. So much flavor!
Bryn Mawr Breakfast Club,https://www.tripadvisor.com/Restaurant_Review-g35805-d8459765-Reviews-Bryn_Mawr_Breakfast_Club-Chicago_Illinois.html,"January 4, 2020",5,Breakfast that fills you up,"My wife and I finally had a day off together without the kids. We decided to try someplace new for breakfast. We were not disappointed, food, service and staff was great. We both enjoyed our meal. My wife loved the scallion pancakes and I enjoyed my breakfast torta made with scrambled eggs and Mexican sausage. We will definitely return in the near future with our kids. Bottom line you get what you pay for at this restaurant we didn’t feel cheated. Hope this review was helpful, and remember it’s just our opinion. "
Bryn Mawr Breakfast Club,https://www.tripadvisor.com/Restaurant_Review-g35805-d8459765-Reviews-Bryn_Mawr_Breakfast_Club-Chicago_Illinois.html,"October 20, 2019",5,"unique, local, worth a visit","First off, as of Oct 20, 2019 the TripAdvisor address is incorrect as the restaurant recently moved across the street and down 1/2 block to 3348 W. Bryn Mawr Ave. Next off - wow. Cool, quirky, great atmosphere, extensive menu, friendly wait staff. Only down side, is no sound absorption so it is rather loud. I ordered the vegetable skillet - 2 poached eggs, has browns, onions, peppers, cheese, etc, with a nice whole grain toast. Very tasty. My wife enjoyed bacon and eggs, again tasty. I know our orders were ordinary, but as I said, depending on what you are looking for, you should be able to find it on their extensive menu. Definitely worth a visit."
Bryn Mawr Breakfast Club,https://www.tripadvisor.com/Restaurant_Review-g35805-d8459765-Reviews-Bryn_Mawr_Breakfast_Club-Chicago_Illinois.html,"September 14, 2019",5,Best brunch in the area,"Seriously, best brunch you’re going to find in the neighborhood...or most of Chicago. I’ve had breakfast/brunch at a LOT of places in the city and this is quite possibly my favorite. The bread pudding French toast is amaaaaaazing."
Bryn Mawr Breakfast Club,https://www.tripadvisor.com/Restaurant_Review-g35805-d8459765-Reviews-Bryn_Mawr_Breakfast_Club-Chicago_Illinois.html,"July 23, 2019",4,"Good Food, Super Quick Service","My husband and I went for lunch at around 1 pm. It was pretty crowded, but we did not have to wait for a table. I ordered the breakfast burrito with the adobo sauce on the side (which was good, since I wasn't a fan of the sauce). I could only finish half of it, but it was good...chorizo, poblano peppers, avocado, cheese, sour cream. The breakfast potatoes were pretty good, too. My husband had the roasted vegetable omelet (a special) with potatoes and a side of chicken sausage. He loved all of it. The food came out surprisingly quickly and the server was attentive."
Bryn Mawr Breakfast Club,https://www.tripadvisor.com/Restaurant_Review-g35805-d8459765-Reviews-Bryn_Mawr_Breakfast_Club-Chicago_Illinois.html,"May 31, 2019",4,We visited twice on our Chicago visit.,"The only reason I am not giving 5 stars as our one waffle had a very tart cherry compote, not the sweet, delicious blueberry/mango as described.Other than that, this is an absolute gem. We were a party of 4 including a 10 year old and a vegetarian. The Salmon Bagel plate was fresh, simple and plentiful.The child pancakes was a perfect size.All plates were beautifully presented, hot/cold and fresh.This is a popular place, don't be surprised if you have to wait as it's first come, first serve. Prices are quite reasonable. Daily specials, fun open kitchen, the staff takes your order right on the IPad for prompt and efficient service. Easy meter parking.We most definitely will return and recommend to all."
Bryn Mawr Breakfast Club,https://www.tripadvisor.com/Restaurant_Review-g35805-d8459765-Reviews-Bryn_Mawr_Breakfast_Club-Chicago_Illinois.html,"May 7, 2019",5,Creative Breakfast Cuisine,"My family and I had a great time at the Bryn Mawr Breakfast Club! The options on their menu are not typical breakfast items, they each had a flare to them. I loved my chilaquiles dish which embodied the food of Hispanic culture. We did not want to put our forks down because every dish we ordered was so flavorful. We will definitely come back!!!"
