restaurant_name,link,date,rating,title,review
S.K.Y,https://www.tripadvisor.com/Restaurant_Review-g35805-d13445407-Reviews-S_K_Y-Chicago_Illinois.html,"August 23, 2021",5,"My Go-To Restaurant, Shareable Plates!","Coming to S.K.Y. is always a highlight of my Chicago trips. Our visit was already on the upswing with the welcoming and friendly staff. To start, we ordered the warm mushroom salad, black truffle croquettes, cornbread madeleines, hamachi sashimi, marinated cucumbers, Maine lobster dumplings, Japanese...caesar salad, and the homemade burrata cheese. Wow, that seems a lot for 4 people lol, but everything was delicious and more importantly, shareable. I am still in awe how they crisp up parts of  the maitake mushrooms, and how luscious it feels in my mouth with the goat cheese and that vinaigrette, tho! It is so good! We mingled over the small plates and enjoyed our cocktails (Star-Crossed Lover, I will be back for you!). Our attentive server came back a couple of times to see if we needed anything, just the right touch to feel she is around should we need her.    For the entrees, we ordered the fried chicken, Mediterrenean seabass, prime rib short rib, foie gras bibimbap, and potato-crusted salmon. We also ordered the shishito peppers, and charred brocolli. All the dishes were on point, especially the crispy rice edges and generous foie gras on the bibimbap. I thought the salmon was a little over, but my friends thought it was perfect. But the fried chicken, unforgettable! Why is it called fermented hot sauce? It should be named, 'hot, lush and silky sauce.'   We come to the end, my most favorite part! We got the banana budino and cheesecake brulee. I know, why only two?! We were quite full but didn't want to leave without trying dessert. The cheesecake with the tart passionfruit bite was amazing! And the banana budino, why can't they sell that by the quart? It's like eating a very grown up pudding, so delicious and satisfying. It was really a great ending to a perfect meal.More"
S.K.Y,https://www.tripadvisor.com/Restaurant_Review-g35805-d13445407-Reviews-S_K_Y-Chicago_Illinois.html,"July 24, 2021",3,Disappointed,"We’ve eaten here before and enjoyed the food. Our group all ordered the tasting menu. We were having a wonderful time during our first three courses, but then our waitress disappeared and another course was not in sight. After 45 minutes, found our waitress and...she said our fish would be right up. Five minutes later, it appeared. But then, another wait. I got up to stretch my legs because we’d been sitting so long. I caught the eye of the manager, and our next course finally arrived. They sent us two pieces of dessert to split among the four of us as an apology. I was disappointed that the waitress didn’t come over and explain the delay instead of disappearing. She also should have managed the kitchen better, or brought us some bread to keep us entertained.More"
S.K.Y,https://www.tripadvisor.com/Restaurant_Review-g35805-d13445407-Reviews-S_K_Y-Chicago_Illinois.html,"May 15, 2021",5,Delicious brunch in a cool restaurant,Came for brunch. The building is unassuming but has that cool vibe when you sit down. Diego the waiter was stellar and the host was awesome too. Basically everyone we interacted with was helpful and happy to see us.   Truffle croquettes were absolutely amazing. A...must have. The short rib was great. Mushroom salad was great. Nothing was bad. Definitely worth the visit.More
S.K.Y,https://www.tripadvisor.com/Restaurant_Review-g35805-d13445407-Reviews-S_K_Y-Chicago_Illinois.html,"April 4, 2021",5,Will be top 10 soon!!!,"This restaurant crushes everything!  First, the most authentic, personable and kind service team ever.  Next, the dining room and music are super hip and comfortable. But best of all is the food, and at moderate prices for the freshness, quality and portion size.    We came...for brunch with our party of five adults, and four of us ordered the $29 three course tasting menu and shared that among the five of us. You get a choice of 4 items with each course, so we each picked something different and shared. Do the math, and we each tasted a dozen items!  EVERY single item was amazing and notable, and I don’t regret a bite...but I might skip dinner tonight as the portions are solid and the food so delicious that you don’t want to send a plate back empty. We double ordered the lobster dumplings, which are a reasonable a la carte option at $16. YUM!!! Order a biscuit when you are seated to share between every two people—incredible! If you order separate items, consider the maiitake mushrooms, cucumber salad, deviled eggs, short rib hash, fried chicken, coconut pancakes...everything!  You can only go right here and can’t go wrong.  I hear dinner is even better, and I don’t know how, but I can hardly wait to find out!More"
S.K.Y,https://www.tripadvisor.com/Restaurant_Review-g35805-d13445407-Reviews-S_K_Y-Chicago_Illinois.html,"September 19, 2020",5,A truly remarkable Restaurant,"Debuted in Pilsen late-2017, S.K.Y. is Chef Stephen Gillanders’ first solo project, a decade with Jean-Georges Vongrichten plus two years at LEYE's “Intro” developing a diverse skill-set that sees Gillanders exploring global influences that feel both familiar and distinctive at the same time.  Boasting the...initials of wife Seon Kyung Yuk, her vision responsible for a modern space housed inside a building constructed during the 19th Century, guests visiting S.K.Y. amidst the global pandemic will find tables sparsely filled and service especially accommodating with a bevy of safety precautions in place.  Seated after a quick temperature check, high-tops in the bar perfect for singles as TV On The Radio played overhead, it was after perusing a QR Code menu that the night’s special was suggested, Salt Cod pureed with silky-soft Potatoes alongside housemade Fry Bread and Jalapeno Peppers a perfect example of Gillanders’ intent to “prepare familiar Ingredients in a modern, innovative way.”  Born in Los Angeles, but Asian-inflected across much of S.K.Y.’s menu, dish two saw the kitchen fuse France with the American South by way of Cornbread Madelines, undoubtedly a far-cry from Proust’s ideal but nonetheless delectable while signature Lobster Dumplings offered thin-yet-sturdy Gyoza packed with Meat afloat in Butter primed with Yuzu, Chervil, Chiles and Mint.  Told the Fried Chicken was something special, but reluctant to pass on Chef Gillanders’ Bibimbap, it would need to be a World-class piece of Poultry to compete with roasted Duck Liver atop Mushrooms, Scallions, Nori and blackened Chinese Broccoli – not to mention housemade Gochujang that added heat and umami to bowl-crisped Rice beneath.  Not stopping here, though the aforementioned plates would be a good amount of Food for most couples, it was on the server’s suggestion that a “baby” Banana Budino arrived alongside S.K.Y.’s recently-added Mille-Fuille, the former a worthy signature from Pastry Chef Tatum Sinclair with hints of Bananas Foster while the latter rivaled any in France – including Jacques Genin and Alain Passard – in terms of taste and texture.More"
S.K.Y,https://www.tripadvisor.com/Restaurant_Review-g35805-d13445407-Reviews-S_K_Y-Chicago_Illinois.html,"February 22, 2020",5,Absolutely fantastic restaurant!,"Absolutely fantastic restaurant! Our great server, Santiago, guided us through our meal. 6 of us shared snacks and appetizers. We then all had our own mains.  Highlights and I mean highlights were the lobster dumplings and the foie gras bimbambop.  The flavors here are through...the roof. Can’t wait to return!More"
S.K.Y,https://www.tripadvisor.com/Restaurant_Review-g35805-d13445407-Reviews-S_K_Y-Chicago_Illinois.html,"February 18, 2020",5,My current favorite Chicago restaurant,"I went with friends to this little spot in Pilsen, not knowing what to expect, Well it turns out that it was a very pleasant surprise, some of the best food I've had in Chicago in a charming informal atmosphere.The portions are small, and meant...to be shared by the table, but all are excellent, Great wines, and very nice service. The friend chicken was outstanding. I have been back several times, and would recommend it highly to anyone looking for a dining experience.More"
S.K.Y,https://www.tripadvisor.com/Restaurant_Review-g35805-d13445407-Reviews-S_K_Y-Chicago_Illinois.html,"February 15, 2020",5,An absolute experience!,"I had to wait a couple of days before I wrote this review to completely absorb the encounter I had with S.K.Y.   The awesome experience actually started from the phone call. I called and talked with Matthew. I explained that we didn't have reservations but...were very close in the area and would like to have dinner there. He explained that a few seats were available in the bar but if that was no longer a option, he would work his magic to accommodate us. And work his magic, he did. I think Matthew provided us with one of the best tables in the house. He greeted us so warmly when we arrived. Matthew introduced us to our server, Santiago. Santiago was an absolute gem! There are some folks who absolutely love their job, I think that would be an accurate description of Santiago. He made us laugh, engaged us in great conversation and served us some amazing food! Wait, I cannot forget about the EXTENSIVE and jaw dropping wine list! I had a Lambrusco Rose that was tantalizing! Thank you Stephen Gillanders for allowing us into your kitchen and taking photos with us. Your vision of S.K.Y. is a beam of light shining in the Pilsen neighborhood!   The food was an all star event! From the amuse bouche' to the make your taste buds dance desserts. Everything we ate that night was a topic for conservation. I don't think there are enough adjectives to describe the amazing experience I had there. What I learned at S.K.Y. is that you are supposed to experience and taste food and flavors, not just eat it. I learned that each bite is something to be savored. I learned that each appetizer or entree' presented is an event to be discussed and conversed about. I learned to truly enjoy my food.More"
S.K.Y,https://www.tripadvisor.com/Restaurant_Review-g35805-d13445407-Reviews-S_K_Y-Chicago_Illinois.html,"February 6, 2020",5,Amazing Culinary Experience,"The Restaurant is very cozy, and the service is first class. The food has a unique touch that makes any plate delicious. For a better experience I recommend sharing ;)"
S.K.Y,https://www.tripadvisor.com/Restaurant_Review-g35805-d13445407-Reviews-S_K_Y-Chicago_Illinois.html,"January 23, 2020",5,Uberd Over...SKY is Awesome!,"We enjoyed an awesome treat to artfully prepared food!  Cocktails were great too!!!  We had weekend reservations, SKY was a short few minute Uber from the downtown lake shore area.  The staff was super friendly, smart and accommodating.  The price for the quality received was...great as well. This is a great date, family(older teens), or business spot...Foodies should make this a MUST visit.More"
S.K.Y,https://www.tripadvisor.com/Restaurant_Review-g35805-d13445407-Reviews-S_K_Y-Chicago_Illinois.html,"January 4, 2020",5,What a treat,We were in Chicago for 4 nights with friends. SKY was our favorite restaurant of the trip. We all opted for the $49 tasting menu and it was terrific. I loved the sriracha shrimp wrap - wanted to lick the bowl. My wife’s favorite course...was the mushroom salad. We all left sated and satisfied.More
