trip_res_name,restaurant_name,link,avg_rating,category,avgerage_cost,review_count,location
Molly's Cupcakes,Molly's Cupcakes,https://www.zomato.com/chicago/mollys-cupcakes-lincoln-park,4.6,"['Desserts', 'Bakery']",7.5,208,2536 N Clark Street 60614
Boka Restaurant,Boka,https://www.zomato.com/chicago/boka-lincoln-park,4.4,['American'],65.0,104,1729 North Halsted Street 60614
Nookies Wells,Nookies,https://www.zomato.com/chicago/nookies-lincoln-park,4.0,['American'],20.0,112,1746 N. Wells Street 60614
Sapori Trattoria,Sapori Trattoria,https://www.zomato.com/chicago/sapori-trattoria-lincoln-park,4.2,['Italian'],32.5,100,"2701 North Halsted Street, Lincoln Park Lakeview 60614"
Cafe Ba-Ba-Reeba!,Cafe Ba-Ba-Reeba!,https://www.zomato.com/chicago/cafe-ba-ba-reeba-1-lincoln-park,4.3,"['Spanish', 'Tapas']",27.5,766,"2024 North Halsted Street, Lincoln Park 60614"
Chicago Pizza & Oven Grinder,Chicago Pizza & Oven Grinder Company,https://www.zomato.com/chicago/chicago-pizza-oven-grinder-company-lincoln-park,4.6,"['Italian', 'Pizza', 'Sandwich']",32.5,436,2121 N Clark Street 60614
Mon Ami Gabi,Mon Ami Gabi,https://www.zomato.com/chicago/mon-ami-gabi-lincoln-park,4.3,['French'],37.5,114,"2300 North Lincoln Park West, Lincoln Park West 60614"
Twin Anchors Restaurant & Tavern,Twin Anchors Restaurant & Tavern,https://www.zomato.com/chicago/twin-anchors-restaurant-tavern-lincoln-park,4.4,"['American', 'BBQ']",25.0,227,"1655 North Sedgwick Street, Old Town 60614"
riccardo trattoria,Riccardo Trattoria,https://www.zomato.com/chicago/riccardo-trattoria-lincoln-park,4.0,"['Italian', 'Seafood']",37.5,57,2119 North Clark Street 60614
Lou Malnati's Pizzeria,Lou Malnati's Pizzeria,https://www.zomato.com/chicago/lou-malnatis-pizzeria-lincoln-park,4.3,['Pizza'],20.0,174,958 W Wrightwood Avenue 60614
The Pasta Bowl,Pasta Bowl,https://www.zomato.com/chicago/pasta-bowl-lincoln-park,4.2,['Italian'],12.5,63,2434 N Clark Street 60614
R.J. Grunts,RJ Grunts,https://www.zomato.com/chicago/rj-grunts-lincoln-park,4.2,"['American', 'Burger']",37.5,162,"2056 North Lincoln Park West, Lincoln Park 60614"
Goose Island Brewhouse,Goose Island Brewpub,https://www.zomato.com/chicago/goose-island-brewpub-lincoln-park,4.3,['Bar Food'],22.5,174,1800 N Clybourn Avenue 60614
North Pond,North Pond,https://www.zomato.com/chicago/north-pond-lincoln-park,4.1,['American'],130.0,99,2610 N. Cannon Drive 60614
Butcher & The Burger,Butcher & The Burger,https://www.zomato.com/chicago/butcher-the-burger-lincoln-park,4.0,['Burger'],17.5,68,1021 West Armitage Avenue 60614
The J. Parker,The J. Parker - Hotel Lincoln,https://www.zomato.com/chicago/the-j-parker-hotel-lincoln-lincoln-park,3.9,['Bar Food'],40.0,26,"1816 N Clark Street, 13th Floor 60614"
Del Seoul,Del Seoul,https://www.zomato.com/chicago/del-seoul-lincoln-park,4.5,"['Asian', 'Fusion']",15.0,114,2568 N Clark Street 60614
Basil Leaf Cafe,Basil Leaf Cafe,https://www.zomato.com/chicago/basil-leaf-cafe-lincoln-park,3.9,"['Italian', 'Sandwich']",37.5,50,2465 N. Clark Street 60614
