trip_res_name,restaurant_name,link,avg_rating,category,avgerage_cost,review_count,location
La Scarola,La Scarola,https://www.zomato.com/chicago/la-scarola-river-west,4.5,['Italian'],35.0,137,"721 W. Grand Avenue, Chicago 60654"
Piece,Piece,https://www.zomato.com/chicago/piece-wicker-park,4.4,"['Pizza', 'Bar Food']",17.5,481,1927 W North Avenue 60622
Picollo Sogno,Piccolo Sogno,https://www.zomato.com/chicago/piccolo-sogno-river-west,4.4,['Italian'],45.0,145,464 North Halsted 60622
Mindy's Hot Chocolate,Hot Chocolate,https://www.zomato.com/chicago/hot-chocolate-wicker-park,4.4,"['American', 'Desserts']",35.0,408,1747 North Damen 60647
Stan's Donuts and Coffee,Stan's Donuts,https://www.zomato.com/chicago/stans-donuts-wicker-park,3.9,"['Donuts', 'Desserts', 'Coffee and Tea']",7.5,36,"1560 N. Damen Avenue, Chicago 60622"
Big Star,Big Star,https://www.zomato.com/chicago/big-star-wicker-park,4.4,['Mexican'],25.0,394,"1531 N Damen Avenue, Chicago 60622"
Bongo Room,The Bongo Room,https://www.zomato.com/chicago/the-bongo-room-wicker-park,4.3,['American'],22.5,292,1470 N Milwaukee Avenue 60622
Small Cheval,Small Cheval,https://www.zomato.com/chicago/small-cheval-wicker-park,3.0,['Burger'],22.5,16,"1732 N Milwaukee Avenue, Chicago 60622"
The Smoke Daddy,Smoke Daddy,https://www.zomato.com/chicago/smoke-daddy-wicker-park,4.0,"['American', 'BBQ']",22.5,229,1804 West Division Street 60622
The Violet Hour,The Violet Hour,https://www.zomato.com/chicago/the-violet-hour-wicker-park,4.0,['Bar Food'],20.0,139,1520 N. Damen Avenue 60622
Dove's Luncheonette,Dove's Luncheonette,https://www.zomato.com/chicago/doves-luncheonette-wicker-park,3.6,"['Mexican', 'Southern']",25.0,27,"1545 N. Damen Avenue, Chicago 60622"
The Dawson,The Dawson,https://www.zomato.com/chicago/the-dawson-river-west,3.5,['New American'],37.5,21,730 West Grand Avenue 60654
Antique Taco,Antique Taco,https://www.zomato.com/chicago/antique-taco-wicker-park,4.4,['Taco'],17.5,111,1360 North Milwaukee Avenue 60622
Jeni's Splendid Ice Creams,Jeni's Splendid Ice Creams,https://www.zomato.com/chicago/jenis-splendid-ice-creams-wicker-park,3.3,['Ice Cream'],7.5,8,1505 Milwaukee Avenue 60622
PICCOLO SOGNO DUE,Piccolo Sogno,https://www.zomato.com/chicago/piccolo-sogno-river-west,4.4,['Italian'],45.0,145,464 North Halsted 60622
Two Restaurant & Bar,TWO Restaurant,https://www.zomato.com/chicago/two-restaurant-west-town,3.9,['New American'],27.5,21,1132 West Grand Avenue 60642
Nando Milano Trattoria,Nando Milano Trattoria,https://www.zomato.com/chicago/nando-milano-trattoria-wicker-park,3.6,['Italian'],37.5,12,2114 West Division Street 60622
Club Lucky,Club Lucky,https://www.zomato.com/chicago/club-lucky-wicker-park,4.4,"['Italian', 'Seafood']",30.0,98,"1824 West Wabansia Avenue, Bucktown - Wicker Park 60622"
The Handlebar,Handlebar,https://www.zomato.com/chicago/handlebar-wicker-park,4.4,"['American', 'Bar Food']",17.5,115,2311 W North Avenue 60647
Kai Zan,Kai Zan,https://www.zomato.com/chicago/kai-zan-west-town,3.9,"['Japanese', 'Sushi']",17.5,16,"2557 W. Chicago Avenue, Chicago 60622"
Coalfire,Coalfire,https://www.zomato.com/chicago/coalfire-west-town,4.3,['Pizza'],20.0,92,1321 W. Grand Avenue 60642
Boeufhaus,Boeufhaus,https://www.zomato.com/chicago/boeufhaus-west-town,3.2,"['French', 'German']",47.5,8,"1012 N. Western Avenue, Chicago 60622"
mana foodbar,Mana Food Bar,https://www.zomato.com/chicago/mana-food-bar-wicker-park,4.1,['Vegetarian'],20.0,63,1742 W. Division Street 60622
Hoosier Mama Pie Company,Hoosier Mama Pie Company,https://www.zomato.com/chicago/hoosier-mama-pie-company-west-town,4.2,"['Cafe', 'Desserts', 'Bakery']",7.5,54,1618 1/2 Chicago Avenue 60622
Fatso's Last Stand,Fatso's Last Stand,https://www.zomato.com/chicago/fatsos-last-stand-ukrainian-village,3.9,"['American', 'Burger']",10.0,35,2258 West Chicago Avenue 60622
Native Foods,Native Foods Café,https://www.zomato.com/chicago/native-foods-cafe-wicker-park,4.1,"['American', 'Mexican']",15.0,55,"1484 N Milwaukee Avenue, Chicago 60622"
Flo,Flo,https://www.zomato.com/chicago/flo-west-town,4.4,"['American', 'Mexican']",20.0,80,1434 W Chicago Avenue 60622
Oiistar,Oiistar,https://www.zomato.com/chicago/oiistar-wicker-park,3.8,"['Asian', 'Ramen']",20.0,23,"1385 N Milwaukee Avenue, Chicago 60622"
D'Amato's Bakery,D'Amato's Bakery,https://www.zomato.com/chicago/damato-s-bakery-west-town,3.9,"['Fast Food', 'Bakery']",7.5,35,1124 W Grand Avenue 60622
Mart Anthony's Italian Restaurant,Mart Anthony's,https://www.zomato.com/chicago/mart-anthonys-west-loop,3.5,"['Italian', 'Pizza']",35.0,9,"1200 W. Hubbard Street, Chicago 60622"
Shokolad,Shokolad,https://www.zomato.com/chicago/shokolad-west-town,3.5,"['European', 'Bakery']",15.0,7,"2524 W. Chicago Avenue, Chicago 60622"
Yuzu Sushi & Robata Grill,Yuzu Sushi and Robata Grill,https://www.zomato.com/chicago/yuzu-sushi-and-robata-grill-west-town,4.1,['Sushi'],25.0,41,"1751 W Chicago Avenue, Chicago 60622"
Cumin,Cumin,https://www.zomato.com/chicago/cumin-wicker-park,4.3,"['Indian', 'Nepalese']",30.0,89,"1414 N Milwaukee Avenue, Chicago 60622"
Windy City Cafe,Windy City Cafe,https://www.zomato.com/chicago/windy-city-cafe-river-west,3.4,['American'],17.5,12,"1062 West Chicago Avenue, West Town 60642"
Mirai Sushi,Mirai,https://www.zomato.com/chicago/mirai-wicker-park,3.9,"['Sushi', 'Japanese']",20.0,68,2020 W. Division Street 60622
Spinning J Bakery and Soda Fountain,Spinning J,https://www.zomato.com/chicago/spinning-j-west-town,3.5,"['Bakery', 'Desserts']",5.0,4,"1000 N California Avenue, Chicago 60622"
Taxim,Taxim,https://www.zomato.com/chicago/taxim-wicker-park,4.0,['Greek'],37.5,54,"1558 N. Milwaukee Avenue, Chicago 60622"
Ada Street,Ada Street,https://www.zomato.com/chicago/ada-street-west-town,3.9,['New American'],35.0,39,"1664 N Ada Street, Chicago 60642"
Tocco Pizza e Arte,Tocco,https://www.zomato.com/chicago/tocco-wicker-park,2.9,"['Italian', 'Pizza']",27.5,26,"1266 N Milwaukee Avenue, Chicago 60622"
Sultan's Market,Sultan's Market,https://www.zomato.com/chicago/sultans-market-wicker-park,4.3,['Middle Eastern'],12.5,254,"2057 West North Avenue, Wicker Park 60647"
Takito Kitchen,Takito Kitchen,https://www.zomato.com/chicago/takito-kitchen-bucktown,2.8,['Mexican'],27.5,20,"2013 West Division Street, Wicker Park 60622"
The Wormhole Coffee,The Wormhole Coffee,https://www.zomato.com/chicago/the-wormhole-coffee-wicker-park,4.6,['Cafe'],5.0,53,"1462 N. Milwaukee Avenue, Chicago 60622"
Milk & Honey Cafe,Milk and Honey Cafe,https://www.zomato.com/chicago/milk-and-honey-cafe-wicker-park,4.2,"['American', 'Sandwich', 'Cafe']",22.5,110,1920 W. Division Street 60622
Umami Burger,Umami Burger,https://www.zomato.com/chicago/umami-burger-wicker-park,3.5,['Burger'],20.0,22,1480 North Milwaukee Avenue 60622
Uncle Mike's Place,Uncle Mike's Place,https://www.zomato.com/chicago/uncle-mikes-place-west-town,3.9,"['Diner', 'American', 'Sandwich']",17.5,34,1700 W Grand Avenue 60622
Enoteca Roma,Enoteca Roma,https://www.zomato.com/chicago/enoteca-roma-wicker-park,3.9,['Italian'],27.5,36,2146 West. Division 60622
Bari Subs,Bari,https://www.zomato.com/chicago/bari-west-town,4.3,"['Italian', 'Sandwich']",7.5,65,1120 W. Grand Avenue 60622
Podhalanka,La Bruquena,https://www.zomato.com/chicago/la-bruquena-west-town,3.6,"['Puerto Rican', 'Caribbean']",15.0,18,2726 W Division Street 60622
Schwa,Schwa,https://www.zomato.com/chicago/schwa-west-town,4.2,['New American'],130.0,58,1466 N. Ashland Avenue 60622
Bite Cafe,Bite Cafe,https://www.zomato.com/chicago/bite-cafe-ukrainian-village,4.3,['New American'],20.0,64,"1039 N Western Avenue, Chicago 60622"
Twisted Spoke,Twisted Spoke,https://www.zomato.com/chicago/twisted-spoke-west-loop,4.3,"['American', 'Burger', 'Sandwich']",17.5,67,501 North Ogden Avenue 60622
A Tavola,A Tavola,https://www.zomato.com/chicago/a-tavola-ukrainian-village,3.9,['Italian'],40.0,33,2148 W Chicago Avenue 60622
Mott St,Mott Street,https://www.zomato.com/chicago/mott-street-west-town,3.6,"['Asian', 'New American']",35.0,14,"1401 N. Ashland Avenue, Chicago 60622"
El Barco Mariscos,El Barco,https://www.zomato.com/chicago/el-barco-west-town,3.3,"['Seafood', 'Mexican']",25.0,58,1035 N Ashland Avenue 60622
Via Carducci La Sorella,Via Carducci La Sorella,https://www.zomato.com/chicago/via-carducci-la-sorella-wicker-park,3.5,"['Italian', 'Pizza']",25.0,26,1928 West Division Street 60622
Alliance Bakery,Alliance Bakery & Cafe,https://www.zomato.com/chicago/alliance-bakery-cafe-wicker-park,3.8,['Cafe'],10.0,46,1736 W Division Street 60622
Black Dog Gelato,Black Dog Gelato,https://www.zomato.com/chicago/black-dog-gelato-west-town,4.0,"['Desserts', 'Ice Cream']",7.5,47,"859 N. Damen Avenue, Chicago 60622"
Las Palmas of Wicker Park,Las Palmas Mexican Restaurant,https://www.zomato.com/chicago/las-palmas-wicker-park,3.9,"['Latin American', 'Mexican']",20.0,47,1835 W. North Avenue 60622
Tryzub,La Bruquena,https://www.zomato.com/chicago/la-bruquena-west-town,3.6,"['Puerto Rican', 'Caribbean']",15.0,18,2726 W Division Street 60622
Folklore,Folklore,https://www.zomato.com/chicago/folklore-wicker-park,3.6,"['Latin American', 'Argentine']",37.5,23,"2100 W. Division Street, Chicago 60622"
The Chop Shop,Chop Shop,https://www.zomato.com/chicago/chop-shop-wicker-park,3.8,['American'],20.0,11,"2033 West North Avenue, Chicago 60647"
Iguana Cafe,Iguana Cafe,https://www.zomato.com/chicago/iguana-cafe-river-west,3.9,"['Desserts', 'European', 'Sandwich', 'Crepes']",17.5,41,"517 N Halsted Street, Chicago 60622"
Bella Notte,Bella Notte,https://www.zomato.com/chicago/bella-notte-west-town,3.9,['Italian'],30.0,35,"1374 West Grand Avenue, River West 60622"
Salerno's Chicago,Salerno's,https://www.zomato.com/chicago/salernos-west-town,3.6,"['Italian', 'Pizza']",17.5,27,1201 West Grand Avenue 60622
Pub Royale,Pub Royale,https://www.zomato.com/chicago/pub-royale-ukrainian-village,3.6,['Indian'],27.5,7,"2049 W. Division Street, Chicago 60622"
Falafel & Grill,Falafel & Grill,https://www.zomato.com/chicago/falafel-grill-wicker-park,3.7,"['Mediterranean', 'Middle Eastern']",15.0,17,"1317 N. Milwaukee Avenue, Chicago 60622"
Furious Spoon,Furious Spoon,https://www.zomato.com/chicago/furious-spoon-wicker-park,3.4,['Ramen'],12.5,17,"1571 N. Milwaukee Avenue, Chicago 60622"
