restaurant_name,link,date,rating,review,user,user_id,review_id,order_type
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Mar 03, 2021",5,"i love the place and would love to visit it again with friends and family,                                      ",Yousra Iqbal,155950384,58808318,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Sep 08, 2020",1,,A Al,172752089,50023530,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Oct 01, 2018",4,We remained at a lodging nearby to this eatery so chose to eat before we made a beeline for the show we were around the local area for. The nourishment was awesome and benefit was great as well.,Shyam Pareek,73555477,39371518,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Feb 08, 2018",4,The space is a little cramped but that is to be expected in an airport. I ordered the prime hanger steak but was not excited about the sides which were mac and cheese and steamed broccoli. It gave me a sort of cafeteria feel. The hanger steak was tender and juicy but had a some connective tissue like a strong thread tunning through it which I had to keep removing from my mouth. The broccoli was under steamed and so hard it was unedible. The mac and cheese was good but would have preferred mashed potatoes. Strangely enough my favorite thing was the way the hot tea is served. It comes in a little pot with lemon and honey on the side. Very nice presentation. Service was great.,Simran Pande,37960120,33461103,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Mar 06, 2017",4.5,"This place serves excellent authentic middle eastern cuisine. Great for friends and family. If you're in a group of 4-6 then be sure to order the huge family size mixed meat platter which should itself suffice the table. Also, try the chilled non-alcoholic beer there. ",Sayeed,2363210,29678787,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Oct 18, 2016",4.5,Had  noshka arayes I think it's not tasty first the bread is quite thick also the filling is very little not much filling in it for all of middleastern people knowledge and pastry chefs the bread should be thin pitta bread not thick one so to feel the filling also extra filling would add more taste and flavour I hope you consider my openion and consider the recepie,Samy,32720590,28514983,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Apr 06, 2016",1,"We are from Different state, We came to Chicago for fun,  and based on family Recommendations we give this place a visit, The only adult was me and my wife and 6 children all of them less than 9 years old, they sat us very quick, and the food it takes time but acceptable, food taste Ok, not great as I was expecting, we have better places in Milwaukee area, my biggest issue was that I discovered on the following day that they cheat on the receipt, there is the cost of the food plus tax, then the TIP Line, then the total, so i put line on the tip because i love to pay the waiters cash, and because the kids start crappy we left very quick, when I arrived home, I discovered that they already charged me the tip, so basically i paid 35 dollars for for $60 food, I have to admit its my fault, but not only that, the amount of young guys front of the main door and around the restaurant make it just hard for families to be in and out without feeling uncomfortable, I will make sure to tell all my family members not to visit this place and in top of that i will scan the receipt and post it on line, very bad experince",Feedbackyoudeserve,34115826,26736705,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Mar 29, 2015",0,Don't be put off by the strip mall exterior of Bridgeview's Al Bawadi Grill.  Inside the place feels like a kebab-themed Epcot Center.  The fun starts as you enter and begin to feel like you've completely left Chicago.  You're greeted by smiling fellow dressed in full Middle Eastern garb pouring you a friendly (and free) cup of coffee.  Welcome to Al Bawadi!,Shrewd Foodies,28118663,23377639,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Aug 07, 2014",0,Great food- service is lacking. The food here is amazing but the service is lacking. We went to eat here on a Wednesday night. It took our server about 15 minutes to come greet us. They bought over our little appetizer plates and then didn't come back for another 10 minutes to take our order. When the good did come our server never came over to see how the food was or if we needed anything at all. There were many busboys and servers waking around but nobody tended to our table. We didn't feel the need to leave a tip that day because we felt that they didn't do their job properly.,Mballout78,24836855,16154053,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Apr 11, 2014",0,"AMAZING. If you have eaten here yet, you are missing out! The food is fresh, delicious and reminds you of middle east!! I hope for a location near Schamburg soon!",Moe5taz,24486462,16154050,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Mar 12, 2014",4.5,"I went back last night and I had a great food again like usual . But this time the service was bad horrible no one was there to even to pick up the empty dishes . Please just fix the service staff . Food is extremely good . Thanks   -----08 Mar, 2014-----  It's the best Restaurant in Chicago I love the food . And Service . And the best one when you walk in you will meet a man who's name is about muhammad great man . will serve you the best Arab coffee you can ever have .its a great place to go eat ever . Unfortunately they don't have another location in suburban area .",ROBERT,24398202,16154047,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Sep 16, 2012",4.5,"Great service, tasteful food & nice atmosphere. Love the mix grill. Keep up the good work.",Hasan Hamed,23105402,16154041,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Apr 09, 2012",0,"Great Food. If my family and I were to go out to eat, this is our number one spot to go. Al Bawadi's food is spectacular! The atomsphere is nice. The only problem is the restaurant should expand their place so they can accommendate the people.",Hadeel Eid,22760493,16154038,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Dec 26, 2011",4.5,"Real food. I went there on Christmas night....  Restaurant : Great atmosphere but The place was so crowded.... I do not know if this happened just because Christmas or if it happening every night...  The food:  I ordered  ""Vegetarian Sampler"" hamous, Baba Ghanoj, grap leaves, falafel""  Tabbouleh , sheesh Tawooq "" chicken, rice""  The best Middle Eastern food I recommend ....  My orders took around 20 min.    Price:  $ 31 not including tip.   I recommend it to you, just call before you go... Maybe if you are going with a group make a reservation before you go.   I like Al Bawadi... I will go again to it if I visit Illinois in the future...",California Taster,16068727,16154035,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Nov 27, 2011",4.5,Excellent food! The portions are big and it all tastes authentic! The shawerma and humus are especially good!,Judi,22410659,16154032,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Nov 20, 2011",0,The humos tasted like it came out of a can. The meat in the combo plate tasted under cooked and not merinated as well as fowl tasting. Server was nice but service slow. The chicken cooked in curry lacked salt and fell just short of decent.,Meeya,22403495,16154029,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Sep 15, 2011",4.5,"Hidden Gem. I have had my share of local Middle Eastern Restaurants not to mention that I resided in Jordan for 6 years and I've got to tell you these guys have got this stuff down pact. Fresh, Flavorful and Uniquely Amazing; the Food, the Service and the Ambience have always been top notch! Please do not change a thing!",Luv2Travel,22264667,16154026,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Jul 19, 2011",4.5,Amazing!. Best middle eastern food I've had! Will plan on going back when I'm in Chicago again. Great service from the moment we walked in the door and continued through the whole meal. Food was great and more than enough to take home.,MB,22132673,16154023,DINING
Al Bawadi Restaurant,https://www.zomato.com/chicago/al-bawadi-restaurant-bridgeview/reviews,"Jul 03, 2011",2,"Canned food. I heard a few good reviews, so I checked out the place. It has very nice decor and very kind servers. I ordered stuffed grape leaves, baba ganoush, and a salad. The first 2 items were not fresh or even made on site; they were from a can! (I have been eating Middle Eastern foods from restaurants [and unfortunately cans, when desperate] for years. I know the difference!) I was so terribly disappointed and will not recommend it to anyone.",Lotus,22092821,16154020,DINING
