restaurant_name,link,date,rating,review,user,user_id,review_id,order_type
Calo Pizzeria Restaurant & Lounge,https://www.zomato.com/chicago/calo-ristorante-edgewater/reviews,"Feb 08, 2018",4,We had a great lunch at this restaurant while waiting for a flight. The Pub burger was awesome. The service was fast and the waiter very friendly. I would return.,Pranay Singh,37948412,33460897,DINING
Calo Pizzeria Restaurant & Lounge,https://www.zomato.com/chicago/calo-ristorante-edgewater/reviews,"Aug 13, 2015",2,"I know this place gets a lot of love, but I just can't seem to muster any. The service is great, no complaints there, but I just find the food unexceptional. My pasta is usually overcooked and oversauced, and the meat I've had has been cooked 'til dry. I would happily return for drinks, but for authentic Italian, or even authentic Italian-American, look elsewhere.",Harris Cabrera,31336607,24602695,DINING
Calo Pizzeria Restaurant & Lounge,https://www.zomato.com/chicago/calo-ristorante-edgewater/reviews,"Jul 20, 2015",4.5,"If you're in Andersonville, and wanting pasta, this place, hits the spot. Service was fantastic and the food, ya better be hungry!!! Lots to choose from, next time I'm trying their pizza ",Duanesworld,21267159,24359539,DINING
Calo Pizzeria Restaurant & Lounge,https://www.zomato.com/chicago/calo-ristorante-edgewater/reviews,"Dec 11, 2014",0,Ribs. Week day special is the best,Jack Lambert,25292361,16090273,DINING
Calo Pizzeria Restaurant & Lounge,https://www.zomato.com/chicago/calo-ristorante-edgewater/reviews,"Sep 18, 2014",4.5,"Great food and atmosphere. Well, its not my kind of place but definitely worth it enjoying a good meal here. Place is nice and the vibe here is good!",James Williams,24983191,16090270,DINING
Calo Pizzeria Restaurant & Lounge,https://www.zomato.com/chicago/calo-ristorante-edgewater/reviews,"Aug 18, 2014",4.5,"Super-CALO-fragilisticexpialidocious!. Calo is great Italian restaurant that has become a favorite of my father's and we finally got to all have dinner there when I was in town the other night. (I can't believe it's been there since 1963 and I never knew about it!) The short summary is that I would rate my meal as one of the ten best Italian dishes I've ever had the pleasure to enjoy. Here's the details: Calo is a good sized place with a nice bar, high ceilings, muted lighting and lots of dark wood and nice food-art-photography on the walls. There was a good crowd with people of all ages, reflecting the diversity of the neighborhood. It was full and lively with conversation. Our server was a consummate pro, always right on top of everything; and I noticed that all the servers worked as a team moved with great efficiency and communication together. I started with the house salad and, because it's so rare any more, I chose the creamy garlic dressing. And it was the best creamy garlic dressing I've ever had! The salad was fresh and crisp and both my GF and I commented on how flavorful the little pieces of red pepper were in the salad. For the main dish my dad had a wedge salad that he absolutely loved. His fiance had the Farfalle con Vedura, which I tried and it was delicious. My GF had the Pasta Italiano and it too was wonderful. But personally, I think I ordered best with the Rigatoni Ala Barese which was pasta with one of the best red sauces I've ever had--just so fresh and full of flavor, along with house made Italian sausage that was fantastic and it included some pieces of chicken and asparagus. It was heavenly. The wine was also fantastic. My father made a point of noting that even though it is an Italian place, the ribs are outstanding and he's had them there many times. It was a great evening and I can't wait to go back!",Rick,16175593,16090267,DINING
Calo Pizzeria Restaurant & Lounge,https://www.zomato.com/chicago/calo-ristorante-edgewater/reviews,"Aug 15, 2013",0,"Chet. I ordered the fried chicken (I had a craving) It was way too breaded and not at all interesting. For a side, I ordered the mushroom soup. It was the saltiest soup I've had in ages - truly inedible. I've ordered ribs from Calo that were good, but not the best. It is close by, but I would think twice about calling them again for delivery order - just disappointing.",Chet Smith,24002901,16090264,DINING
Calo Pizzeria Restaurant & Lounge,https://www.zomato.com/chicago/calo-ristorante-edgewater/reviews,"Aug 11, 2013",4.5,This place is great - food and atmosphere is great - service is always good and severs are knowledgable - been there many times and never had a bad dinner,Steve Marsh,23991522,16090261,DINING
Calo Pizzeria Restaurant & Lounge,https://www.zomato.com/chicago/calo-ristorante-edgewater/reviews,"Jun 07, 2013",4.5,"As an Aussie eating here, I was very surprised to have the BEST chicken parmigiana ever. Great service, great serving size",Greg C,21068850,16090258,DINING
Calo Pizzeria Restaurant & Lounge,https://www.zomato.com/chicago/calo-ristorante-edgewater/reviews,"Sep 21, 2013",4.5,"Dining in is always great. Carry-out isn't always so good. Problems last 2 times.   -----27 May, 2013-----  Consistently good food.",Bulldogr,22873962,16090255,DINING
