restaurant_name,link,date,rating,review,user,user_id,review_id,order_type
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"May 30, 2019",4,"The place looked lovely with their spacious seating and the bright lighting. The staff seemed friendly and had good recommendations for us. We tried the egg tools and the chicken in stick which were delicious. Their lamb on stick looked really good but didn't meet my expectations. However I liked their chicken fried rice much, but I would recommend anyone to mention it to be made spicy if they preferred. I also took their child milk tea with Tapioca which went well after the nice dinner. Overall it was a good start for my first Chinatown visit here in Chicago!",Sirisha,12565291,43288866,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Aug 27, 2018",4,"Authentic Cantonese Cuisine  We were directed to Ming Hin Cuisine rather than Chinatown for yum cha and we were very pleased with the experience. Lots of choices of delicious food. Those from Hong Kong were delighted with the fresh, flavoursome and authentic fare, the rest of us enjoyed it from a less knowledgeable perspective but delicious is delicious in any language.",Sourabh Sirohi,49650186,38680873,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Aug 26, 2018",4,"we wanted to go to the china town in chicago, but found one nearby from our hotel which was also a chain from the china town. great dim sum and food.",Jignesh,49689719,38662883,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Mar 23, 2018",4,"Lovely place and excellent food. What I love about this place is their small portion of food that helps me taste diverse variety of food.  I had been here with my friend about 2 months ago and now writing the reviews.  We ordered for pan fried vegetable roll, egg yolk paste bun , veg noodles and egg yolk tart ( that's what I think it was called...pic with yellow inside a tart)  I loved each and every thing I ordered here. And so much value for money. My best was the egg yolk tart though I do not know the name of dish. Soo crisp , just melts in your mouth and perfect sweet taste.  Apart from the tasty food you get here, the staff are extremely courteous and helpful.  Must visit and highly recommended!!! Yummmm food and good value for money. Not to forget the small portions that's pretty helpful. ",Anjana S,1136620,34136669,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Feb 08, 2018",4,Amazing The restaurant is so authentic Like a food court Very organised from ordering to picking up Amazingly friendly staff The best hotdogs and milkshake ever Must doAmazing The restaurant is so authentic Like a food court Very organised from ordering to picking up Amazingly friendly staff The best hotdogs and milkshake ever Must do,Prayanshu Gill,38529623,33461245,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Sep 05, 2016",1," Terrible. If I could give 0/5 I would because This was the worse meal I've had all year. Lao Sze Chuan had a long wait so we decided to go here - big mistake, we should have waited. The only good thing from the many plates we ordered was the complimentary cookie they served us at the end. We ordered, egg drop soup (tasted bland, lacked salt or any other form of seasoning), pork dumplings (batter was too heavy, dumplings was very greasy, and pork was questionably pork), unfried sesame chicken (gooey SWEET mystery chicken, not savory at all, sauce was like candy - very off putting), beef vegetable rice noodle dish (overly sauced but somehow way under seasoned and bland, noodles were over cooked and mushy, and meat was again very questionable and off putting). Staff was clueless and didn't speak English (Understand this is a restaurant in Chinatown, but i expect the staff to be able to minimally communicate with their customers). We usually bring home our left overs but here, everything was so bad, we couldn't bare to eat it a second a time. We will not back and I regret spending money here.   ",Bertmv,35862132,28118521,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Aug 30, 2015",5,"Best place for dim sum in Chicago. There's nothing else better. I tried all of them including the big dim sum boys in Chicago chinatown: Phoenix, Cai, Dolo, Triple Crown, etc. Ming Hin took first place.  The roast pork is so good and their dim sum selection is very comprehensive filled with classic dishes like har gao and shu mai to creative ones like my fave pineapple buns and all kinds of different dumplings. They also offers various congees - standard pork and century egg to chicken and abalone.  They're also fantastic for dinner with various fancy elevated Chinese seafood dish.   This is probably the most successful restaurant in Chinatown. They kept expanding and buying space of their next door neighbors.  Dim sum crowd and wait are quite crazy in the weekend. Just be patient and don't come starving already. The wait would be well worth it.",Lu,31405942,24778998,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Aug 20, 2015",3,"I thought I liked this place but actually it smells weird and the dim sum is crap - it all tastes the same and with unidentifiable meat just thrown into vegetarian things. The crispy duck skin with bao is nice but they don't roast the full duck so you get one plate of skin and legs, and then this additional plate of weird duck stew made with the meat. Never again. ",Niki - Jay Bougaard,27368242,24673156,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"May 21, 2015",4.5,Open late... Great dim sum at like 2 in the morning. Great ending to a fun day in the city.,JB,22894383,23796865,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Apr 01, 2015",0,"While the weather might get you down, you definitely should hit up one of the top dim sum places I have ever ate at, including  America , Hong Kong , and Taiwan .  The name of this wonderful eatery is MingHin Cuisine .  ",Mark Anthony,23665682,23374865,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Jun 23, 2013",4.5,"Superb. An excellent meal. True Chinese food in the USA! Good service, excellent atmosphere and food that was fantastic. We had Chicken Corn Soup, absolutley delicious! Their Duck was superb, mouthwateringly so!!! Their General Tso's Chicken was flavor some and perfect! My wife has a delicate palate and the General Tso was not to spicy for her, I am a fire eater so I added asian chilli and the world was good :) The vegetables were perfectly cooked.  So refreshing to have great Chinese food over the abundance of mediocre everywhere........",Tim Denehy,21208543,16173541,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Jun 16, 2013",0,Dim Sum Luncheon. Had Dim Sum while I was in Chicago for a conference. This place is not bad. Certainly better than the Dim Sum places in Vancouver! Reasonably priced and tasty.,Tinkerbellmagic8,21744215,16173538,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Jul 05, 2012",4.5,"Fancy dining for a great price. I must say, we didnt expect much when we decided to eat here, but the ambience, service, food and the price just surprised us all in all.  Service was a little tricky because we didnt know whether the other ""uniformed"" (they wore their own restaurant shirts, which i thought was a cool thing and way better than apron and white shirt) people was our server as well as the main server (who wore a different shirt).  but they had fancy boxed napkins in the center of the table, which toothpicks and the seats were comfortable. The design/decor was very pleasing.  This is our favorite dimsum place now! We can't wait to come back for more!",Techie,21515630,16173535,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"May 28, 2012",4.5,Great food. Be ready for bigger than normal dimsum portions when you order.,Brandon A Brunner,22440328,16173532,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Feb 09, 2012",0,"Best Dim Sum in town, fancy place with modern style. MingHin is the lightest cleanest tastiest dim sum ever, the BEST dim sum in the city. You have to wait for it on the weekends as there's always a queue. It's a little pricier than average dim sum, but very user-friendly. There are no carts; you order from a menu. Everything arrives at once (and hot). It takes out some of the fun and authenticity.",Skyler,22605048,16173529,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Dec 29, 2011",4.5,"Best Dim Sum in Chicago. Extremely good made-to-order dim sum. We came by on a Saturday and the wait was about 25 minutes but well worth it. The four of us had an assortment of about 18 dishes and everything was a near textbook example of how to prepare each dish. The siu mai, for example, so often a soggy afterthought at other restaurants, were huge, plump, juicy and absolutely delicious.   Every single dish was neither too oily nor too salty, as is often the case in other places.  The crowd is noticeably young and stylish - mostly under 30",JP,22487640,16173526,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Aug 10, 2011",2,"Minghin Restaurant - needs improvement. This restaurant had a great concept and serves great dimsum. Excellent atmosphere and interior. Again, like some chinese restaurant in Chinatown, they dont know how to keep it clean. The interior crome and glass are all dirty looking....hmmmm! Dinner is ok!! The waiters are not train yet! To charge those prices, they should really improve on service and clean well. Other than that it has lots of potential!!",Kpon,22186554,16173523,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"May 09, 2013",4.5,"Amongst this popular crowd, MingHin has created its own place amongst these older players. It has revolutionized the dim sum eating scene in Chinatown as it has presented a fresh-approach to dim sum service. In particular, they have rolled out the dim sum carts and replaced them with a made-to-order offering. Pan-fried, steamed, or deep-fried, MingHin cooks up flavorful, well-priced, traditional, and pristine Chinese cuisine.",Foodtiq,23685065,11406709,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Jan 02, 2014",0,"But this visit, we decided to hit up the late night spot, MingHin.  This restaurant is located in the newer strip mall section of Chinatown and appears much more contemporary than the other restaurants.  ",EatingForSanity,22812298,11036308,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Aug 13, 2014",0,"And if somehow you find these pancakes too boring and wish for more ethnic breakfasts that will equally delight and amaze you, mosey your way to MingHin in Chinatown.  Order basically everything.  We tried the beef brisket with rice rolls - a little claypot filled with rice roll dumplings in a thin, soy-based sauce with chewy bits of beef on bone.",Han And Diana,22739615,10964452,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Jul 10, 2012",4.5,"As you can imagine, not many places are open at 10:00 p.m. on a Friday night in China Town for Dim Sum, but we found Minghin.  The atmosphere is a bit strange.  You have some decently bright lighting, chandeliers, and glass cases with shells (or something?) in them while still getting a full meal for under $10.  We ordered an assortment of things (no dim sum cart here) but my favorite was the pork bun.",Mary Jo Luppino,22332332,10657753,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Apr 25, 2014",0,...Great quality food (but very expensive as well)~ The roast pork here is a must try (and don’t forget to dip in the sugar)..,Andrea,22074739,10444663,DINING
MingHin Cuisine,https://www.zomato.com/chicago/minghin-cuisine-chinatown/reviews,"Oct 17, 2013",0,"Dim sum for breakfast pretty well assures that your day is going to be off the charts.  It’s kind of like rainbows and puppies and mermaids, pretty well perfect in and of itself.  ",Ifedthemonster,22063314,10434574,DINING
