restaurant_name,link,date,rating,review,user,user_id,review_id,order_type
Gather,https://www.zomato.com/chicago/gather-lincoln-square/reviews,"May 14, 2017",4,Amazing experience for the price with well executed dishes and service. A must visit in Lincoln square area if goosefoot is too much. The crispy cauliflower is awesome.,Bryan Oser,41213273,30355970,DINING
Gather,https://www.zomato.com/chicago/gather-lincoln-square/reviews,"Sep 19, 2016",5,"Hands down best restaurant I have been to in Chicago in a long time!  Ambiance, food, drinks & superb service!!!  Fresh & delicious food & amazing cocktails!  Yum!!! ",Martinimama,21682024,28260781,DINING
Gather,https://www.zomato.com/chicago/gather-lincoln-square/reviews,"Jan 09, 2016",4.5,"I just had a community dinner at Gather.  I like that the dishes are affordable and of high quality.  And I really liked the sweet potato dessert.  It was very original.  As for the space, it was nice because we had a back room that was private.  Also, the staff were very accommodating.  They allowed us to do separate checks with a party of 11 which was really nice because most places require a preset menu.  ",Paul Sippil,31582884,25954232,DINING
Gather,https://www.zomato.com/chicago/gather-lincoln-square/reviews,"Oct 19, 2015",5,"Fantastic! If your able, sit at the Chef's bar and watch them work. I suggest having a drink first, watch a few of the dishes being prepared, then ordering. You get an amazing inside view of the food being prepared. Better than any menu description. Great food. ",Bob Tilden,20669541,25265420,DINING
Gather,https://www.zomato.com/chicago/gather-lincoln-square/reviews,"Aug 12, 2015",4.5,"I have to give this place a high rating on the Brussels sprouts alone. They are, without a doubt, the most scrumptious Brussels sprouts I have ever eaten in my life.",Harris Cabrera,31336607,24596553,DINING
Gather,https://www.zomato.com/chicago/gather-lincoln-square/reviews,"Mar 03, 2015",0,"Elegant room, odd flavors, too loud for conversation. Gather inspires admiration for its varied seating arrangements offering a view of the kitchen, a seat at the bar or high or low seated tables. The atmosphere is mid-century elegant. i wish the food were more satisfying. My cauliflower dish and pasta dish were each  mashups of so many different textures and seasonings that there was no pause or comparison for the tastebuds. Our server said we must mix up the pasta dish on the plate to get all the sauce combined, resulting in a big plate where every bite tasted unpleasantly the same. No one asked how our food was, or I would have expressed my disappointment. On the pasta, there were Just too many bites of unidentifiably-flavored crispy, crunchy, toasted, roasted, seeded, spicy, lemony, vinegary forkfuls of stuff. Perhaps I should have ordered their roast chicken or burger, maybe next time. But the canned music and room noise were so loud that conversation was hard to hear, so people had to speak more loudly and that made it even harder to converse. Too bad. Because Gather's beautifully-designed cozy nooks and kitchen and bar seating areas are so inviting. And their service is kindly attentive. I live in the neighborhood, so I might return and order very carefully to see if I can have a more edible experience.",Fashionsandra,28043089,23429868,DINING
Gather,https://www.zomato.com/chicago/gather-lincoln-square/reviews,"Jul 04, 2014",4.5,"All around great experience, food, wine, service, ambiance.",Dean Masini,24723750,16179802,DINING
Goosefoot,https://www.zomato.com/chicago/goosefoot-lincoln-square/reviews,"Aug 26, 2018",4,"Dinner at Goosefoot was amazing. Food, service, and presentation made it a night to remember. The hosts made the diners feel like they had been invited to their home. A night to remember, and we will be back for sure.",Kriti Sehgal,49678538,38654481,DINING
Goosefoot,https://www.zomato.com/chicago/goosefoot-lincoln-square/reviews,"Sep 17, 2015",4.5,"We parked on the street and then went shopping at the Goosefoot wine shop and store next door to the restaurant. We bought a half bottle of Domaine Vincent Delaporte, Chavignol, Sancerre 2013 ($23.94 CAD). We were greeted by Nina and informed that there was free parking at the rear of the restaurant. We moved our car. As the restaurant is BYOB, we had also brought a bottle Castelgiocondo, Brunello di Montalcino DOCG 2007 (CAD $44.32) which we had purchased at Costco the day before. The menu is printed on planting seed paper. This was a unique and interesting variation. The amuse bouche was a lovely beignet with white truffle mousse, edible marigold flower, and wheatgrass. We dined on Divers scallop; preserved garlic with shrimp, English peas, and pea shoots; cranberry and apple gastrique;  pan fried King River salmon; pan seared duck breast; Angus beef; triple crème provençal cow's milk with rhubarb ginger preserve and fig pearls; tonic of beet and pomegranate with yuzu juice; red pear mousse; pineapple confit with vanilla bean mousse and sorrel, green apple leaf; and finally spiced caramelized hot chocolate. We were extremely satisfied with our dinner.",Taylor Fladgate,22197084,24952345,DINING
Goosefoot,https://www.zomato.com/chicago/goosefoot-lincoln-square/reviews,"Aug 01, 2014",4.5,"Excellent neighborhood dining. Goosefoot offers a tasting menu with 9 courses BYOB. The hostess and wait staff are very personable, and the atmosphere is civilized. The food contains seasonal ingredients and incorporates molecular gastronomy techniques, especially gels and flowers. All the courses were good, but some were lacking in overall flavor, with individual components not adding up. The scallop, salmon and soup courses were excellent. The cheese course had a lot going on, including fennel chips and explosive fig pellets. The garlic custard was curdled with minimal shrimp flavor and the duck confit in the risotto was totally lost. The peach dessert was overwhelmed by the strawberry flavor, but had a good biscuit. Nice finish with a tiny hot chocolate. The menu changes monthly, and you have to reserve well in advance.",Anna,21111564,16176184,DINING
Goosefoot,https://www.zomato.com/chicago/goosefoot-lincoln-square/reviews,"Jun 29, 2013",4.5,"Chris Nugent is a genius! Never had anything I didn't like here. His soups are so amazingly rich, flavorful & complex that I cannot put into words how fabulous they are. It's hard to pick a favorite course, but the soup is it I think! Mind continually blown. Thank you Chris & Nina!",Mo,21188475,16176181,DINING
Goosefoot,https://www.zomato.com/chicago/goosefoot-lincoln-square/reviews,"Jul 09, 2012",4.5,Been there twice ... Chris Nugent and his team are brilliant. Expert + friendly service and NO pretense... Great night out. Well done,Rswilsonjr,22490437,16176178,DINING
