restaurant_name,link,date,rating,review,user,user_id,review_id,order_type
Chez Joel,https://www.zomato.com/chicago/chez-joel-university-village/reviews,"Aug 26, 2018",4,"We dine at Chez Joel often,. It is by far one of the best restaurants. The food is wonderfully delicious,The wait staff is extraordinary, management is attentive and caring. what more can you ask for. and they have the BEST outside dining of any restaurant in Chicago! If you are from our of town you must go this is what dining in Chicago is about. and if you live in Chicago it's a must.",Pallavi Gupta,49678729,38659946,DINING
Chez Joel,https://www.zomato.com/chicago/chez-joel-university-village/reviews,"Oct 15, 2016",4,I had a French onion soup flavor was good but l was expecting more of broth and I had Croque Madame sandwich it was delicious. Over all a good experience. My server was very accommodating and helpful. Dessert was elegant and well balanced with my three course meal experience. ,Sandeep Kumar,36360035,28481355,DINING
Chez Joel,https://www.zomato.com/chicago/chez-joel-university-village/reviews,"Jan 24, 2016",4,Service was great! We went there  for our first wedding anniversary when we got back into the Chicago. Food was excellent.  We recommend it.,Jonathan Peck,21419007,26085761,DINING
Chez Joel,https://www.zomato.com/chicago/chez-joel-university-village/reviews,"Jan 29, 2012",4.5,"A delight. Nice surprise to find this place. In a world full of restaurants with over-reaching menus and chefs that can't deliever, Chez Joel is a breathe of fresh air. It knows just what it is and what it can do well. Simple, classic bistro fare that is cooked to perfection. While everything was delicious, our favorite course, unexpectedly, was the dessert course.....apple and lemon tarts that left us wanting more. Respectable wine list. Good, unpretentious service. Will definitely return to try the bouillabaisse.",Thomas4,22575391,16091110,DINING
Chez Joel,https://www.zomato.com/chicago/chez-joel-university-village/reviews,"Sep 15, 2009",4.5,Ate here 9/13. Really enjoyed it. Nice atmosphere. Gourmand salad was excellent.,Keith,20644997,16091107,DINING
Chez Joel,https://www.zomato.com/chicago/chez-joel-university-village/reviews,"Jul 07, 2012",4.5,"This is definitely a nice, authentic French restaurant in Chicago that doesn't break the wallet!    Some of the food was amazing while others had just too many ingredients... ",EatingForSanity,22812298,11034907,DINING
The Rosebud,https://www.zomato.com/chicago/the-rosebud-university-village/reviews,"Feb 17, 2019",4,We went there for valentine's day and it was super crowdy and got our table after twenty minutes despite reserving it a day ahead. The service was great and the wait staff was polite and smiling which created a great mood. We ordered simple food - fettuccine Alfredo with some chicken and it was delicious and filling with the bread they gave. We decided not to have alcohol and didn't go ahead with their wine which were of wife variety. Over all it was a good experience.,Sirisha,12565291,41629493,DINING
The Rosebud,https://www.zomato.com/chicago/the-rosebud-university-village/reviews,"Aug 26, 2018",4,"I have dined in Italian Restaurants On the Hill, in the homeland and beyond and I am here to tell you there is none other any better than The Rosebud. It’s perfection. Order the house special Stuffed Artichoke to kick things off and don’t leave the table naked—say “YES!” when they offer you meatballs.  My husband and I ordered the Lasagna, Chicken Marsala, and Chicken Caprese.  There is surely a special place in heaven for the chef(s) of this amazing meal.  The wait staff is wonderful and full spectrum of the perfect experience.  Seriously, don’t even think of going anywhere else. I swear it.  P.S. The deserts are to die for!",Pallavi Gupta,49678729,38657488,DINING
The Rosebud,https://www.zomato.com/chicago/the-rosebud-university-village/reviews,"Mar 21, 2018",4,Awesome Italian food - clearly on my short list of great Italian food and since we are in Chicago we have a lot of choices to eat Italian.  You can’t miss if you go there ,Hunter,21688590,34095922,DINING
The Rosebud,https://www.zomato.com/chicago/the-rosebud-university-village/reviews,"Nov 08, 2017",4,"I went here with a couple of friends last night. The Rosebud is a Chicago and Taylor St institution since it was established with a rich history and walls decorated with celebrity diners.  The prices are decent for the quality and quantity of food which we ate. We ordered the Bolognese with spaghetti, marinara with penne, garlic bread and vesuvio potatoes.   The garlic bread was excellent. Well toasted, slightly crispy and garlicky served with marinara sauce and parmesan. The Bolognese was very very delicious but very rich so the portions seemed heavy. I took more than half of it to go. The remainder of the items were just about ok.   I would recommend the Rosebud to anyone who wants great, rustic Italian food and a good time.    ",Vaibhav Ravichandran,1468638,32342674,DINING
The Rosebud,https://www.zomato.com/chicago/the-rosebud-university-village/reviews,"Feb 06, 2014",0,"...I felt a duty to share my most recent meal at the notoriously famous Rosebud in hope that you can get there by the end of CRW week. I have countless memories with my family at Rosebud , whether it’s a post-shopping dinner at their Rush location, dining al fresco and people watching at Carmine's , or for a special shower or birthday party at any of their locations.  However, I must say, that the original, Rosebud on Taylor, is most special to me because I met one of my best friends, Lindsey, at that location.  The Taylor Street location is extremely charming, and located in the heart of Little Italy.  If you haven’t been, I suggest you go.  They have many amazing Italian classic dishes, and I usually wind up ordering the the brick chicken or the papardelle marinara, but the restaurant week menu made me try new menu items that I fell in love with. I highly suggest you get your Italian fare on, and head to a Rosebud tonight or  tomorro",A Girl & Her Food,29000706,23495008,DINING
The Rosebud,https://www.zomato.com/chicago/the-rosebud-university-village/reviews,"Feb 13, 2015",4.5,"Great experience. My dad insists upon dining at Rosebud every time he visits us from Los Angeles. As usual, Rosebud did not disappoint. Service was top-notch and the food was great. Highly recommended.",Wartowski1,25603565,16110760,DINING
The Rosebud,https://www.zomato.com/chicago/the-rosebud-university-village/reviews,"Oct 04, 2014",4.5,Rosebud. A little overpriced and stay away from the eggplant parmesan,Grzenterprises,25039706,16110757,DINING
The Rosebud,https://www.zomato.com/chicago/the-rosebud-university-village/reviews,"Sep 19, 2014",4.5,"Very good! We had the fried calamari and house salad to begin. I had the chicken Marsala and my wife had chicken parmigiana the servings were huge we couldn't finish it. The service was very good, the ambiance is excellent. We would come back next time we are in Chicago.",Nedbraden74,22922361,16110754,DINING
The Rosebud,https://www.zomato.com/chicago/the-rosebud-university-village/reviews,"Jun 02, 2013",4.5,Highly recommended. Great service. The staff was very knowledgeable & very friendly. The food was amazing and I would love to go back soon! We entertained a few people from China and they were so surprised on the big portions. I would definitely rate Rosebud a perfect ten.,Harriet Gulik,23734973,16110751,DINING
The Rosebud,https://www.zomato.com/chicago/the-rosebud-university-village/reviews,"Dec 03, 2012",4.5,"Not only was the service here absolutely phenomenal, the food was the best Italian we have ever eaten ( and we are Italian food buffs)! We kept it simple with spaghetti and meatballs and baked lasagna... It was one of those times you wish you had an extra stomach. Would've paid twice what we did, although already pricey!",Zach,21091089,16110748,DINING
