restaurant_name,link,date,rating,review,user,user_id,review_id,order_type
Bryn Mawr Breakfast Club,https://www.zomato.com/chicago/bryn-mawr-breakfast-club-north-park/reviews,"Aug 28, 2018",4,"I didn’t know this place existed until I met a friend here for breakfast. What a hidden gem! I saw a picture of the mouthwatering bread pudding French toast and had to try it. I love a good chorizo skillet, so I wanted to try that too! My friend and I ordered both and split them. The French toast tasted as good as it looked. The chorizo was wonderful.  I was pleasantly surprised and will go back the first chance I get!",Vickrahm Kohli,50139871,38692741,DINING
Bryn Mawr Breakfast Club,https://www.zomato.com/chicago/bryn-mawr-breakfast-club-north-park/reviews,"Mar 28, 2018",4,"The Place  Bryn Mawr Breakfast Club is located nowhere else then on 3348 W Bryn Mawr Ave, Chicago, IL.  This is a fun place for breakfast, brunch, or lunch.  Very clean and well attended to with a warm inviting atmosphere.  Ample tables or booths to sit at share a meal.  The Menu  Fun menu with Club Signature offerings, fun omelets and skillets as well kitchen classics.  Lunch has an assortment of options including burgers, tacos, sandwiches and salads.   We enjoyed a breakfast burrito  w/ chorizo, roasted poblano pepper, corn, avocado, chihuahua cheese, adobo sauce, sour cream on flour tortilla with potatoes, a couple orders of oreo pancakes, and pork sausage gravy biscuits, eggs, sausages & roasted potato hash browns.  All were very good. The Value/Service/Experience  Breakfast was a little on the expensive side but you get what you pay for from a value perspective.  Our service was very good, and overall it was a very nice breakfast experience.  I recommend you give the Bryn Mawr Breakfast Club a try.",James Blass,37590242,34241080,DINING
Bryn Mawr Breakfast Club,https://www.zomato.com/chicago/bryn-mawr-breakfast-club-north-park/reviews,"Feb 09, 2016",4.5,"The wait is worth every minute..delicious ...delicious...great menu, great service...second on my list of breakfast places in Chitown :) ... combination of flavors are magnificient...",Ana Encarnacion,33487608,26227796,DINING
Bryn Mawr Breakfast Club,https://www.zomato.com/chicago/bryn-mawr-breakfast-club-north-park/reviews,"Sep 18, 2015",5,"My all time FAVORITE breakfast place to eat at! I went to North Park University and bummer I didn't know about this place then. Such good food, good vibes, and goooood service.",Ruthie,31860123,24963429,DINING
Tre Kronor,https://www.zomato.com/chicago/tre-kronor-north-park/reviews,"Nov 03, 2019",5,There was really good food ,Mayo,146378833,45972724,DINING
Tre Kronor,https://www.zomato.com/chicago/tre-kronor-north-park/reviews,"Aug 27, 2018",4,"We visited Tre Kronor on a Sunday morning, and were glad we arrived a bit before opening. The restaurant and backyard seating filled quickly. We enjoyed a fantastic traditional Swedish breakfast, and look forward to our return.",Gunjan Bali,49678346,38678693,DINING
Tre Kronor,https://www.zomato.com/chicago/tre-kronor-north-park/reviews,"Feb 08, 2018",4,"We had never been in Midway Airport in Chicago. It had been a long day and we wanted to eat in a regular restaurant. I had in mind the seafood restaurant at National Airport. As we walked through the terminal Harry Caray seemed to be the only sit-down restaurant. There was a line which I hoped was a good sign. At the entrance were several dower appearing wait staff who were writing down names. I left my name and joined the waiting crowd. I went back and asked if there were menus to look at. One of the hostesses silently and expressionlessly handed me a menu. I thought to myself, ‘not a good sign’, but as I scanned the area again, it was either this place or fast food. After about half an hour, our name was called and we were offered seats at a high top table in the bar area. I requested a regular table in the dining area and was told it would be a few minutes. Near the door was a table for two that was clean and ready; a nearby table had a handicap sign on it, but this particular table did not. I did not say anything. We watched the hostess seat several people at tables for two in the dining area, so I asked if we had been forgotten. The hostess replied, ‘yes’ and apologized and then sat us at the table that had been ready all along.",Simran Pande,37960120,33461088,DINING
Tre Kronor,https://www.zomato.com/chicago/tre-kronor-north-park/reviews,"Jul 18, 2016",3.5,"Ive spent alot of time in this neighborhood. The food is very good but every time I go, I feel underserved and overcharged. Very cozy digs and interesting selections on the menu. Probably the best breakfast in the area. All in all good, not great.",Scottocarpenter,25385011,27684475,DINING
Tre Kronor,https://www.zomato.com/chicago/tre-kronor-north-park/reviews,"Apr 16, 2015",4.5,"Tre Kronor:. Välkommen to Tre Kronor where you will find some of the best Scandinavian home cooking in Chicago. Tre Kronor is a cozy and casual restaurant with Swedish and Norwegian memorabilia like Niklas Hjalmarsson’s Blackhawks jersey and mural of dancing elves covering the walls.  On a mission for a meatball sandwich I got the Norwegian Meatball sandwich served open-faced made with hot gravy on limpa toast a Swedish rye bread that has a sweet taste. The meatball sandwich can also be served cold with egg and tomato. You can get the delicious bread at the Swedish Bakery in Andersonville. For the side option you should order the house made pickled cucumbers. They are crunchy full of dill and have a sweat and sour tang of vinegar.  The special of the day was pølse a boiled sausage from Denmark served in a bun covered in mashed potatoes and topped off with crispy onions and served with a salad. It’s worth it to break your diet for this special.  The cinnamon roll has a nice citron flavor and is big enough to share. Tre Kronor also serves a great breakfast and dinner. If you want to continue the Scandinavian good times you can cross the street to The Sweden Shop a department store with housewares, clothing, and books from Denmark, Norway, Sweden and Finland.",Alicia Lauhon,29337318,23647768,DINING
Tre Kronor,https://www.zomato.com/chicago/tre-kronor-north-park/reviews,"Jul 22, 2012",0,"WARNING: prices are about $1 more than listed! Plates are small and quite expensive, but delicious...",Bennett Tanner,21192721,16115479,DINING
