restaurant_name,link,date,rating,review,user,user_id,review_id,order_type
Dusek's Board & Beer,https://www.zomato.com/chicago/duseks-pilsen/reviews,"Aug 27, 2018",4,We stopped in for a late dinner and had a lovely experience. The food was absolutely delicious and creative and the service and ambiance were great. Would definitely recommend.,Gaurav Solanki,49678251,38676820,DINING
Dusek's Board & Beer,https://www.zomato.com/chicago/duseks-pilsen/reviews,"Feb 09, 2018",4,We've heard about Portillo's for a long time but had never been. It definitely lived up to the stories. The hot dogs were GREAT. The cake shake was wonderfully decadent and the atmosphere and ordering system fit the food perfectly. They serve a lot of people all of the time and they have it down to a science. Some one or more than one person put a lot of thought into how to keep the quality up and keep the food a flowing.,Preetham Naga,39065903,33473734,DINING
Dusek's Board & Beer,https://www.zomato.com/chicago/duseks-pilsen/reviews,"Feb 08, 2018",4,"What I loved:  Hot food made to order  Fun music  Sensory overload  Quirky old-timey fun  Cheap!  Fast table clearing/ high turnover  Because you pre-pay you can leave when you want   What I didn't love:  The ""cake shake"" - a bit gross. Like cake in a blender with ice cream   The hot dog missed the mark for me...  The cheese fries need MORE cheese!!",Priyank Singh,47525748,33464579,DINING
Dusek's Board & Beer,https://www.zomato.com/chicago/duseks-pilsen/reviews,"Jul 20, 2018",4,"Dusek’s is a Pilsen bar and restaurant that’s housed in the historic 1892 Thalia Hall. Since opening in 2013 it’s received several accolades, including two Michelin stars.",The City Lane,23578649,33242366,DINING
Dusek's Board & Beer,https://www.zomato.com/chicago/duseks-pilsen/reviews,"Aug 31, 2017",1.5,"I don't know how this has a Michelin star. Th brunch here is average. The dinner is fucking terrible. I've had dinner here twice, now to be sure that they didn't have an off meal the first time I went but... nope it's fucking average to mostly BAD. They can't even make a pretzel and beer cheese properly??? The burger is one of the most unremarkable I've had - Five Guys makes a better burger. If you want the same kind of food but at 10 x better quality and friendlier service rather hit The Promontory in Hyde Park. I even think they're owned by the same company so I dunno how Dusek's is so damn awful. ",Niki - Jay Bougaard,27368242,31564642,DINING
Dusek's Board & Beer,https://www.zomato.com/chicago/duseks-pilsen/reviews,"May 19, 2016",2,"My friends and I were thoroughly unimpressed with our dining experience at Dusek’s Board and Beer on the 17th of May, 2016. I flew into Chicago from Cambridge to celebrate my best friend’s birthday with his family and partner. We hoped to go out for a nice meal. Having been recently promoted to a one-star Michelin restaurant, we were excited to secure the reservation. In hindsight, we should have gone elsewhere. A truly dismal experience from the reservation process through payment.   Service Awkward staff with a knack for oversight on details. I spoke with the reservationist and informed her of the birthday celebration. She said she would send out a dessert. This never arrived, nor did any mention of the birthday.   We also indicated we were going to be sharing all dishes, and at numerous times throughout the meal, we found ourselves with too few plates. Towards the end of the meal, our server left one plate with no cutlery at the table—our party size was 5.  Our server knocked over the sauce for the Mussels and it splashed onto my glass and the table below. No attempt at cleaning up the mess was made, only an unintelligible squawk escaped our server’s mouth.   Later in the evening, out server knocked my water glass over causing water to spill onto my lap. At least this time he was apologetic.   Food By far the worst one-star Michelin experience I have had of the 10 Michelin-star restaurants at which I have dined. The food wasn’t bad, per se, but it was significantly subpar to the Michelin standard. Gilt Bar and Girl and the Goat which only have Bib Gourmand status blow Dusek’s food quality out of the water.",Bradley Tran,34545803,27111228,DINING
Dusek's Board & Beer,https://www.zomato.com/chicago/duseks-pilsen/reviews,"May 02, 2016",4,"Stopped in around 2 on a Saturday afternoon. We ended up sitting at the bar, but the wait wasn't very long at all for a table. They have quite a few beers on tap, which I loved. The also had some specialty cocktails/beermosas. I had their collaboration beer with buckledown brewing called  ""Rye Felicia"" as well as the savory beermosa and neither disappointed. The oysters were delicious, & the steak & eggs, although a bit smaller on the portion scale, was great as well. Overall we had an awesome experience. I especially loved the chalk board walls in the bathroom.",Jordan,25123261,26967055,DINING
Dusek's Board & Beer,https://www.zomato.com/chicago/duseks-pilsen/reviews,"Oct 01, 2015",4.5,"Note: no reservations unless you have a party of 5 or more. Less than that and you'll likely wait about an hour or more. Head downstairs to Punch House while you wait and you won't mind waiting at all! The food and service are always phenomenal. Noteworthy items were the side of fries, the juicy lucy burger, and the steak, as well as the cookie dough dessert. Favorite Pilsen restaurant, by far.",Erin Thor,32025791,25092302,DINING
Dusek's Board & Beer,https://www.zomato.com/chicago/duseks-pilsen/reviews,"Jul 31, 2015",4,"I Was not expecting anything less than what I experienced.  I've sat at the bar more than I've eaten there, but I have an awesome time every time. Leave it to the people behind Longman & Eagle. restored historic building? Check.  Fantastic beer selection? check. michelin starred chef? check. I can't think of any other reasons why anyone would not take the trip down to Pilsen. Actually, I do. You can just go downstairs and find one of the best cocktail bars in the city. sold!",Gerardo Fregoso,30483378,24471938,DINING
Dusek's Board & Beer,https://www.zomato.com/chicago/duseks-pilsen/reviews,"Apr 22, 2015",4,"If you have yet to visit Dusek's, get yourself over to Pilsen now and give them a try. Dinner or brunch, you can't go wrong.   Their Roasted PEI Mussels with smoked pimenton and warm harissa butter some of the best mussels I've ever eaten and I would order their scallops every single time. We had a bad experience with their short ribs, but hopefully they've since corrected that dish.  As for desserts, the Fried Stout and Chocolate Bar are standouts. For brunch, start with one of their Beermosas and try the Dutch Baby with seasonal fruit, Juicy Lucy, Omelet, Eggs Benedict...the list goes on, it's all so good! Definitely worth the extra effort to get here for those that don't live nearby.",Lauren Folkmann,29070218,23506431,DINING
