restaurant_name,link,date,rating,review,user,user_id,review_id,order_type
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Jun 10, 2019",3,"It's famous for its deep dish pizza, we happened to try out on our recent trip to Chicago. But truly one mistake from the person who took the order ruined our experience, as by mistake he punched Broccoli instead of chicken Breast. And the flavor of broccoli was so prominent that it over powered the taste of other two types of chicken. For records, we had ordered one of their ""create your own pizza"" with all our favorite types of chicken. 50% of the pizza amount was waived off from our bill amount after I spoke to the manager. But nothing is justified for the ruined experience as we had walked for almost 25 minutes and then there was a waiting for 5 minutes plus the pizza took 45 minutes to be baked.  The true Giordano experience will have to wait until we plan to travel to US again.",Mukta Mehta,4045281,43477402,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"May 19, 2019",4,Very commercial but I thought it was superb. Each deep dish pizza takes about 45 mins to one hour to be prepared. Looks like they prepare it from scratch. We had the vegetarian one and even the small one was quite heavy. Make sure you are starving when you go here. Staff was super friendly. ,Soumya S.,27937298,43127471,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Oct 05, 2018",5,"After hearing a lot about their deep dish pizzas, we wanted to give it a try. The pizza took good 25-30 minutes to come but trust me it was worth the wait. We just couldn't get enough of it and craved more. It was definitely one of the best I've had when it comes to deep dish. Good place to go if you're a pizza lover. ",Anant Gupta,16054980,39446203,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Jul 25, 2018",5,"The famous #deepdishpizza was why we went in there. You can simply never have enough of the pizzas. The ambience is quite chill. The crowd is good. Although it took quite some time for them to serve us, it was definitely worth the wait. A must try if you're in Chicago!",Rishika Mitra,52448707,37819311,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Dec 30, 2017",3.5,"Giordanos deep dish pizza, one of the most famous things to try, being a vegetarian, I had to try the veg deep dish, so a disclaimer for that. The pizza was gud, they take gud 30-40min to get this done, each spice of pizza was heavy to the stomach I could manage just 2 spice with great difficulty. I would give 3.5 rating as the pizza somehow didn't appeal too much to my raste uda. They were fine to fill your somtach. Next time I would father prefer a thin trust that deep dish.",Atit Goel,29666026,32950064,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Dec 03, 2017",4,"I had the famous deep dish pizza over here, the restaurant is very good from the ambience and service point of view. The have a good bar as well as food menu. The location is perfect and the courteous staff makes it even better. The pizza was great though I did not go for a freshly baked one. ",Nilesh Naik,15613555,32631891,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Nov 01, 2017",3.5,"I tried the veggie deep dish pizza here. It was good but not great. We had a 45min waiting time and it took them another 45mins to bring us the order! I wish that the  service was a little faster. Apart from that, the pizza was enjoyable. The staff  members are sweet and welcoming. Ambience is noisy, but not bad for a pizza place! ",Medha,34133003,32263043,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Oct 08, 2017",2,"Too crowed, too noisy and too overrated. Tried the thin crust pizza and the dough came out undercooked and tasted badly. If you want to eat a normal pizza (thin crust) definitely this is not the place to go. ",João Filipe Neves,29528122,31991352,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Oct 02, 2017",5,My first experience having the famous chicago pizza! It was soo good we couldn’t stop eating it! We also ordered the tomato bruschetta and it was just exquisite! Definitely going back! ,FoodLover,27423088,31935514,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Sep 27, 2017",4.5,"The best pizza on planet so far is available  at GIORDANO’s guys. Waiting for 2 long hours  for my deep dish pizza was a worth waiting for . Im from india 🇮🇳 i would definitely visit Giordano’s whenever I’ll come to Chicago or united states 🇺🇸 and from the first bite till the  end i received  the  same joy . It was beautifully prepared and the crust of the pizza was awesome .. we had couple of beers over there , we customised our pizza And it was a great evening .. our whole stomach was stuffed with great taste and flavours of that amazing pizza .🍕 ",Rachit Garg,29509983,31868511,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Sep 14, 2017",4,The pizza here is rather good. I had the deep dish & thin crust pizza. The portions are rather large. The drinks were mediocre but passable. The service was very good. I also had the fudge brownie dessert thing and really enjoyed that. The only thing keeping this from being 5.0 is the drinks my 1st pizza being incorrect and minor things with the 2nd pizza that I did not like. ,Courtney Griffith,28078921,31727694,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Sep 11, 2017",4,şikago daki iyi pizzacilardan. Sira beklemeyi goze almak gerekiyor. Rezervasyon yaptirmak zor. Baslangic olarak mozzeralla ve greek salad lezzetli.  Pizzanin gelmesi cok vakit aliyor. Oldukca lezzetli. Kalin ve bol malzemeli geliyor. ,Zorbegenen,41486432,31697881,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Mar 28, 2017",4,Pizza was so very good - I don't like traditional pizza so I got a deep dish specialty while my family got a more traditional deep dish.  It takes a while to bake but worth the wait!  Our waiter was nice - but had too many tables to keep up so service was just ok.  I wish I could say the same for the 'host' who I'd describe as grumpy and unfriendly.  I'll be back for the pizza - despite the service. ,Welovefood,23126161,29881818,DINING
Giordano's,https://www.zomato.com/chicago/giordanos-pizza-south-loop/reviews,"Sep 08, 2016",4,Experienced deep dish pizza for the first time and it was mind blowing.. OMG I would say.. Had to wait for about an hour to get a table but the wait was worth it.. the staff at service was great and they were quick.. we didnt even wait for 5mins for our pizza.. great place to enjoy ur stuffed pizza with a bunch of friends while having a good chat.. ,Shehan Irundika,16437070,28153839,DINING
