restaurant_name,link,date,rating,review,user,user_id,review_id,order_type
Green Street Smoked Meats,https://www.zomato.com/chicago/green-street-smoked-meats-west-loop/reviews,"Nov 10, 2018",5,Best barbecue. Amazing ambience. Be there in time or be in line. And if you're planning to go in the afternoon get ready for a nap after eating all that amazing food. ,Dhiran Karkera,39085,40024315,DINING
Green Street Smoked Meats,https://www.zomato.com/chicago/green-street-smoked-meats-west-loop/reviews,"Oct 14, 2018",5,So so good. Other than the obnoxiously loud music and the 45 minute line .....  Brisket sandwich : 5/5 Frito Pie: 5/5 Elote style corn: 5/5 Macaroni Salad: 3/5,Anjum,35037769,39597024,DINING
Green Street Smoked Meats,https://www.zomato.com/chicago/green-street-smoked-meats-west-loop/reviews,"Aug 24, 2018",4,"Loved everything here. The atmosphere was great and we sat on the patio. Good beer selection. The food was served cafeteria style. We had pulled pork and ribs. We had corn, baked beans, and potato salad for sides. Everything was delicious and we will be back!!",Vikas Saxena,50955256,38612947,DINING
Green Street Smoked Meats,https://www.zomato.com/chicago/green-street-smoked-meats-west-loop/reviews,"Feb 08, 2018",4,"Great food and atmosphere for family and friends. We had Chili Dogs, Italian Beef, Ribs, Fries and Onion Rings. (No health food this visit.) All were delicious and unique. Affordable and fun. Lots of choices and bustling atmosphere. Highly recommended. It gets busy, but lines move fast.",Prayanshu Gill,38529623,33461330,DINING
Green Street Smoked Meats,https://www.zomato.com/chicago/green-street-smoked-meats-west-loop/reviews,"Nov 01, 2017",3.5,"Came here for dinner after a few hours of roaming around the Loop and Millenium Park, the Bean etc.  The ambiance is top-class. Legit, no shortage of space, yet a good rustic vibe to the place, making it look like a watering hole in a quaint, smaller American town.  We had hunger syndrome so we kinda over-ordered. My SO got some pan-fried chicken and salad. I got baked beans, potato salad and a brisket sandwich.  The sandwich was filling, but a li'l too heavy. I think the chicken was much more tastier for me (if you haven't eaten brisket before, should stick to chicken unless your stomach is seasoned enough to try it)  All the same, would definitely visit again and try other things.",Dheeteater,30747088,32258714,DINING
Green Street Smoked Meats,https://www.zomato.com/chicago/green-street-smoked-meats-west-loop/reviews,"Oct 05, 2016",5,"Green Street make amazing barbecue, that's for sure! Had the chopped brisket sandwich which was absolutely delicious and a side of potato salad for good measure. Really like the layout and ambiance of this space, it's large enough to fit big groups on long tables.",Brungiel,32640484,28397081,DINING
Green Street Smoked Meats,https://www.zomato.com/chicago/green-street-smoked-meats-west-loop/reviews,"Jul 24, 2018",5,"When you are walking down Green Street in the West Loop neighborhood in Chicago, you might not notice Green Street Smoked Meats at first. The entrance is located across from The Allis in the same alley with the entrance to High Five Ramen. If you walk down to the far end of the alley, a sign on your left with the words ENTER mark the entrance to a truly one-of-a-kind experience. As you walk in, get ready for some tender, delicious meat, sides that you will want to come back for, and killer BBQ sauce.",Stella&#039;s Out,25253482,27588792,DINING
Green Street Smoked Meats,https://www.zomato.com/chicago/green-street-smoked-meats-west-loop/reviews,"May 27, 2016",3.5,"GSSM is really a Texas-style joint, so it makes sense that the brisket was the star of the show. We even got a few unsauced burnt ends thrown in for good measure. This was a fine representation of Central Texas brisket with a nice peppery bark and both lean and fat slices presented. The Texas-style hotlink was another highlight. It had good snap and flavor while being just moist enough.",Tommy Cary,23876068,27093096,DINING
Green Street Smoked Meats,https://www.zomato.com/chicago/green-street-smoked-meats-west-loop/reviews,"Oct 30, 2015",5,"I had the brisket, pork belly and most of all the pork ribs. The charcoal encrusting of the pork ribs was just splendid. The meats were just done to perfection. The sides were nothing to write home about though. Seating consists of outdoor benches and more outdoor benches indoors. It is not a place to enjoy an intimate evening. Large groups of chums will enjoy themselves most. Nice idea to have kitchen rolls on the tables. With so much meat being thrown around, there is bound to be a mess. Loud music fills the warehouse-esque decor, making it very difficult to carry out a conversation inside. That is not a deterrent though, and I would visit it again and again just for the food!",Dwaipayan Adhya,12365011,25369906,DINING
Green Street Smoked Meats,https://www.zomato.com/chicago/green-street-smoked-meats-west-loop/reviews,"Oct 01, 2015",4,"I enjoyed this place because it's reminiscent of some of the great Texas BBQ joints. The food is not quite as delicious, but for Chicago, it's pretty darn close. I love the decor, the picnic tables, and the margaritas (great idea to put a bar along the long line of people)! Be prepared to stand in line for anywhere from 10 minutes to an hour to order your food. But as long as you're in good company with a drink in your hand, who minds a wait? Will order the brisket and frito pie again!",Erin Thor,32025791,25092260,DINING
